Text,Label,Score,text_cleaned
@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger,0.688,turn shit off home button accessibility nnwhen did innovation mind fuckery iphonephonehome
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,just love people make plan actually including process rage
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger,0.688,smh remove ideologically bankrupt opportunistic establishment now burning bridge social contract anger
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,outrage party nominated lying corrupt person received donation nation support terror
@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger,0.688,forget pick ur fave child school offended
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger,0.688,angry people not know not stop sign francis foster road rage
@soyoprincess they irritate me. Them and their inch thick made up masks,anger,0.667,irritate me inch mask
@ChurdAllan fucked my coupon that goal! ,anger,0.667,fucked coupon goal
How was Natalie one of the top three favorites?! #toofaced and #bitter 🙄,anger,0.667,natalie favorite toofaced bitter
@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger,0.667,democrat voter zero tolerance honesty associate honesty anger hate
@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger,0.667,rage crookedcourt said rage time explain away brutal killing petits hayes amp komisarjevsky
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,0.578,towhy brother protect another serious make furious not misled just think fred mayfield
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,anger,0.667,wake say have tried changing nappy
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,0.667,year irrelevant absolute joke manutd ticketing noloyalty joke notimpressed
All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,anger,0.667,hell breaking loose charlotte charlotteprotest anger looting
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,0.667,bpharm guy eish guy brings anger life nje like darkness fill know
i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger,0.667,hour football practice boiling sun hr volleyball practice boiling sun
testing #angry,anger,0.667,testing angry
@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,anger,0.667,artefact point fury raid literally wasted month life thanks blizzard
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,anger,0.833,suppose work that wtf dude thanks pissing off furious
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,0.667,feel travel mile pick form arrives post day leave fume
@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡,anger,0.667,congratulation free month activated charge month absolutely furious
@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,anger,0.667,hell hath fury like woman scorned affair not parenting
straight people are canoodling on the quad and I'm #offended,anger,0.648,straight people canoodling quad offended
"I can definitely feel my irritation today, lord give me strength",anger,0.667,definitely feel irritation today lord strength
@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,anger,0.6459999999999999,chelsea possible haha fuming bet
When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,anger,0.812,break record madden wish did not say shit rush like just broke record shutupphilsimms
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger,0.6459999999999999,apparently contact me sofa meant delivered today old one gone sitting floor sofa fuming
I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger,0.6459999999999999,rabid grizzly bear going scatter neighborhood americannthey poor refugeesnn inyourneighborhoodnotdc
@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,anger,0.6459999999999999,dont blm thug want justice black black gang crime rage racism cop
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,honest hope annoying southern bint look me pout go week selasi ftw
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,anger,0.6459999999999999,zero help customer service just pushing buck forth promising callback not happen loathing
"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger,0.6459999999999999,stupid hate lol bitter
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,anger,0.6459999999999999,joke cut internet early by mistake not reinstate longer need engineer
"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger,0.6459999999999999,yeah received fine today furious about currently appealing member long
People irritate me 🙄,anger,0.6459999999999999,people irritate
Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger,0.6459999999999999,men rage strike wish best rage emotion negative positive wish strike martial art control believe best hope
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger,0.6459999999999999,black people fighting recognized human being cantsleep
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger,0.6459999999999999,swear block going hit revenge
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 #fuming,anger,0.6459999999999999,joke cut internet early by mistake not reinstate longer need engineer fuming
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,anger,0.6459999999999999,unarmed black killed white cop die month chicago wheres outrage
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger,0.6459999999999999,doe tracking equipment delivered not service suddenly delayed week
Does she really need to pout all the time - getting on my nerves #GBBO,anger,0.6459999999999999,doe really need pout time getting nerve gbbo
Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger,0.6459999999999999,fist laptop screen time new lmao rage anger hp
@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger,0.6459999999999999,maybe attacked tom rabid fan amp clothes perfect him
"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",anger,0.6459999999999999,dear future big brother player just chase dick season win dollar sti bb bitter
"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger,0.556,street burning looting terrifying innocent citizen there either
@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,anger,0.6459999999999999,nothappy charging fullprice fuming bestrides
Forgot to eat dinner and now I'm furious with everything and everyone,anger,0.6459999999999999,forgot eat dinner furious
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,anger,0.6459999999999999,girl sitting chewing gum like cow amp im ready snap
"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",anger,0.69,nonsensical injustice black add destroying black property misdirected anger
Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,anger,0.6459999999999999,make priority list thing outraged order racism animalrights abortion cop
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!,anger,0.6459999999999999,wow hav text u prove taken swine con
You a fuck boy if you run drag routes back to back in madden,anger,0.6459999999999999,fuck boy run drag route madden
I got fever highs\nI got boiling blood,anger,0.6459999999999999,got fever highsni got boiling blood
@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,anger,0.6459999999999999,bad temperament tantrum hissyfits
I can't even right now #bb18 #rage,anger,0.6459999999999999,right bb rage
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.472,haha actually doggy barracking gws bitter
Why are people that don't have iPhones so bitter about iPhones???? Can someone explain,anger,0.625,people not iphones bitter iphones explain
@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger,0.625,guy call people cuck antiblm offended idea not propolicing reform amazing
@deshbhakthoon always unhappy and easily offended.,anger,0.531,unhappy easily offended
"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",anger,0.625,shameful display watched today left reeling anger dt feel like exploding clown watch
All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger,0.625,hell breaking loose charlotte charlotteprotest looting
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt,anger,0.625,got season wentworth watch stupid cunt work ruin oldcunt
Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,anger,0.625,half epicenter shut police yall just burst tear fucking terrible keithlamontscott
Not giving a fuck is better than revenge.,anger,0.625,not giving fuck better revenge
@winksahoy we about to get shit on by the wrath of winter out of nowhere,anger,0.625,shit wrath winter
@GrxjicTank WHY though! Why did u want to offend Americans?,anger,0.625,though did u want offend american
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the ,anger,0.625,unarmed black killed white cop die month chicago wheres
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,0.625,not think monalisa respect herself think ruffle feather thejail
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,anger,0.625,asked parcel delivered pick store not address poorcustomerservice
Thought the Xbox one s madden bundle would come with a physical copy of madden not a code😴 it's gonna take fucking forever to download lol,anger,0.625,thought xbox s madden bundle come physical copy madden not code gonna fucking forever download lol
@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,anger,0.625,bad temperament hissyfits
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger,0.5429999999999999,blood bitter satan test becouse cleanse blood jesus christ amen
The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,anger,0.625,new gun emoji io not anger number thing
@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger,0.5710000000000001,just jealous baby bitter gladsheisgone crybaby
I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger,0.625,just wanna know outrage black black crime know victim blm kill cop based medium
Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,anger,0.625,forever angry gh ruined molly morgan bondfriendship bitter
Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,anger,0.625,spur radio commentator referred mauricio pochettino mopo felt sudden surge rage
@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,anger,0.625,huh sprint coach slowest team comp talk robbing living outrage
Can't believe I've only got 2 days off left 🙄 #backtoreality #raging,anger,0.625,ca not believe got day left backtoreality raging
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger,0.625,taking break wedding rage general stupidity certain people internet
Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger,0.625,fist laptop screen time new lmao hp
•My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--,anger,0.625,brother grabbed aggressive manner threw tantrum like kid knowing express himself
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger,0.604,not join phone you talk rude taking money acc willynilly
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger,0.604,assure laughter increasing anger cost arrogance westminster
