Text,Label,text_cleaned,text_cleaned_t2e_vader
"?????????? 10 ???????? ??????????, ???????? ??????, ??????! how can I understand that shit??? why is that so fast? ????  ",1,understand shit fast,"?? ?? ??, ?? ??, ??! how can I understand that shit?? why is that so fast? ??"
Can I just stay in bed and do nothing? I'm not feeling life today...,1,just stay bed nothing not feeling life today,Can I just stay in bed and do nothing? I am not feeling life today..
"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?  ",1,sleepless night record comfort stuff watching hairy bikers a place sun wee small hour little dog,"Yet another sleepless night. I record comfort stuff. Will be watching the Hairy Bikers and A Place in the Sun until the wee, small hours. With my little dog ?"
That moment when you get blindsided by something you wasn't expecting & now in a state of total disappointment & heartache....,1,moment blindsided not expecting state total disappointment heartache,That moment when you get blindsided by something you wa not expecting now in a state of total disappointment heartache..
when can I really respect and love myself more than anybody else?,1,really respect love anybody else,when can I really respect and love myself more than anybody else?
Crying once again…I have something repeating in my head over and over…I'm crying…,1,cry againi repeating head overi cry,Crying once again I have something repeating in my head over and over I am cry
Done absolute fuck all the last 2days ,1,absolute fuck day,Done absolute fuck all the last day
"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",1,suck fall hard someone just leave like nothing,"it suck when you fall hard for someone, and then they just leave you like it wa nothing."
Sometimes love is so painful it eats you up until your nothing   ,1,love painful eats,Sometimes love is so painful it eats you up until your nothing
"Riding the metro into , the feeling of  is palpable this morning.",1,riding metro feeling palpable morning,"Riding the metro into , the feeling of is palpable this morning."
Just want to stay in bed all day... ,1,just want stay bed day,Just want to stay in bed all day..
When you feel like shit and have no one to vent too   ,1,feel like shit vent,When you feel like shit and have no one to vent too
Starting to feel really anxious and sad and empty. ,1,starting feel really anxious sad empty,Starting to feel really anxious and sad and empty.
"And now that Im having the other way around, i feel so upset and sad",1,im having way around feel upset sad,"And now that Im having the other way around, i feel so upset and sad"
Why it's simple to just stop texting,1,simple just stop texting,Why it is simple to just stop texting
Have to work everyday for the rest of the year ,1,work everyday rest year,Have to work everyday for the rest of the year
"I've been in a funk all day, just feeling a little down  ",1,funk day just feeling little,"I have been in a funk all day, just feeling a little down"
It's weird that I get 300x more depressed over Christmas break every year.  ,1,weird x depressed christmas break year,It is weird that I get x more depressed over Christmas break every year.
"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that's all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left. ",1,anyway walk house try not look thing try not think her do feel deep pain deep longing again remember germany left,"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that is all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I wa in Germany, and she left."
I'm gonna see you one last time,1,gonna time,I am gonna see you one last time
Going through  are like going through .,1,going like going,Going through are like going through .
"Well, goodbye gents, my life is over...  ",1,well goodbye gent life over,"Well, goodbye gents, my life is over.."
"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe  will be just staying alive..",1,sick having new year resolution hitch love happymaybe just staying alive,"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe will be just staying alive.."
When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,1,scare opened like pooring salt them hate feeling pain im,When your scare get re opened an it like pooring salt in them. I hate this feeling. All the pain im in again
Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1,going say goodbye beloved pup upcoming week,Going to have to say goodbye to our beloved pup in the upcoming weeks.
"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",1,is am wide awake thought supposed know as out instead mind racing,"Here it is, am, and I am wide awake. I thought wa supposed to know my as out? Instead my mind is racing."
That moment when your depression kicks in even more....,1,moment depression kick more,That moment when your depression kick in even more..
"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again. ",1,understanding noone there people life busy schedule time time think used longer have think again,"She would have some understanding. But noone, noone is there. People have their own life and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again."
A boo would be nice but nobody loves me ????,1,boo nice love,A boo would be nice but nobody love me ??
"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",1,used talking hour just not talking really happened,"It used to be talking about nothing for hours, now it is just not talking. Really, what happened??"
I just want to watch One Punch Man and not get out of bed.,1,just want watch punch man not bed,I just want to watch One Punch Man and not get out of bed.
I can tell by the end of the night I'm gonna cut my arm  ,1,tell end night gonna cut arm,I can tell by the end of the night I am gonna cut my arm
I want this to be a good day but this monster keeps pushing me down ,1,want good day monster keep pushing,I want this to be a good day but this monster keep pushing me down
Forgot my cheese cake at work ,1,forgot cheese cake work,Forgot my cheese cake at work
ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,1,ha ha just realised actually therapy not know depressed just sad time,ha 🙃 ha 🙃 i just realised that i have never actually been to therapy and i still do not know if i am depressed or just sad all the time
i feel like i'm a prisoner of my own life.. like as if my life was a jail and i'm doing a lifetime sentence ,1,feel like prisoner life like life jail doing lifetime sentence,i feel like i am a prisoner of my own life.. like a if my life wa a jail and i am doing a lifetime sentence
It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,1,amazonprimeday broke reality just day depressing,It is AmazonPrimeDay! And I am broke. So in reality it just another day for me depressing
Being lost in my own mind   ,1,lost mind,Being lost in my own mind
Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,1,ke na le problem le guy way world people lonely alone,Ke na le problem le guys.. there are way too many of u in the world to have some people find themselves lonely and alone.
"If there's one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh.   ",1,thing hate ignored everybody doing just that ugh,"If there is one thing I hate, it being ignored. And everybody seems to be doing just that. Ugh."
It's funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1,funny night hate sleeping sleeping help just feel dead explanation feeling,It is funny at night I hate sleeping but sleeping help I just feel so dead now is there an explanation to this feeling?
i'd kill myself if it was that easy,1,kill easy,i would kill myself if it wa that easy
My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,1,best friend died year ago day car crash y year killing me literally torn need help,My best friend died year ago on this day in a car crash. Y after year is it still killing me. Literally torn up Need HELP
being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘�??�½ story of my life ,1,sweet nice guy realizing really deserved story life,being all sweet and nice to a guy then realizing how he never really deserved any of it ?? ?? story of my life
jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on … leaving me to fester under the poverty line for 10 years,1,jfc bad morning dont depressed oh hang leaving fester poverty line year,jfc ANOTHER bad morning I dont even have anything to be depressed about oh hang on leaving me to fester under the poverty line for year
"41 year old woman wth chronic pain,  and  ""I've noticed that I'm not breaking down crying everyday, my mood seems to be more positive and the intense, intrusive thoughts aren't as strong. It's only been 6 micro doses but I feel like I'm seeing some improvement.""  pic.twitter.com/CFTdb6q2ka",1,year old woman wth chronic pain i noticed not breaking cry everyday mood positive intense intrusive thought not strong micro dos feel like seeing improvement,"year old woman wth chronic pain, and I have noticed that I am not breaking down cry everyday, my mood seems to be more positive and the intense, intrusive thought are not a strong. It is only been micro dos but I feel like I am seeing some improvement."
I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE   ,1,hate hate hate hate hate life hate,I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE
: this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck,1,year fuckd wait hated year depressed hard time getting fuck,this year wa fuckd up I cannot wait for it to be over I hated this year still depressed hard time getting over it ?? ?? fuck
"   I do not know anymore who I am in life because of my parents . I don’t know if I still own my life the fact I feel shallow. Why does life always seem to be unfair , to the point u feel nothing.",1,not know anymore life parent not know life fact feel shallow doe life unfair point u feel nothing,"I do not know anymore who I am in life because of my parent . I do not know if I still own my life the fact I feel shallow. Why doe life always seem to be unfair , to the point u feel nothing."
"When bad dreams come true, got me feeling like Crapulet ",1,bad dream come true got feeling like crapulet,"When bad dream come true, got me feeling like Crapulet"
"Suffering from serious depression ????  Sucks my plans, times everything ????   ",1,suffering depression suck plan time,"Suffering from serious depression ?? Sucks my plans, time everything ??"
"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? ",1,depressionsucks wish anyone justsucks tired controlling life really am,"Depression..SUCKS!! I would NEVER wish this on anyone, it just..sucks. Tired of it controlling my life, I really am??"
And literally 30 or more things that was the reason to live and how to not be  but wasn't really AT ALL. A++ for intent tho.,1,literally thing reason live not not really all a intent tho,And literally or more thing that wa the reason to live and how to not be but wa not really AT ALL. A for intent tho.
A lot of people but they don't know me well.,1,lot people not know well,A lot of people but they do not know me well.
"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   ",1,so apart minute medical appointment not seen spoken person sunday,"So, apart from one minute medical appointment, I have not seen or spoken to another person since Sunday."
"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. ",1,listen tell wonderful christmas wa dinner game etc asked mine,"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine."
I went to church with my mom and a huge chunk of the sermon was basically “if you’re  it’s because your faith is weak” and ... this is why I don’t go to church or tell my mom I’m on antidepressants ???????,1,went church mom huge chunk sermon basically faith weak not church tell mom antidepressant,I went to church with my mom and a huge chunk of the sermon wa basically if you are it is because your faith is weak and .. this is why I do not go to church or tell my mom I am on antidepressant ??
Let me just sit here and wallow in self pity ,1,let just sit wallow self pity,Let me just sit here and wallow in self pity
"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it.  Top it off anxiety is at a high too.  ",1,feeling okish minute reason ever psychiatrist right chronic depression give warning mood just dip feel like it anxiety high too,"Feeling okish one minute then ?? for no reason what is so ever. Psychiatrist wa right chronic depression give no warnings, mood just dip when it feel like it. Top it off anxiety is at a high too."
I’m watching my show and its still not keeping my  depression and anxiety at bay. This stress is crushing me :(,1,watching not keeping depression anxiety bay stress crushing,I am watching my show and it still not keeping my depression and anxiety at bay. This stress is crushing me
I guess it's because I'm not feeling well that I feel so low.  Throat is starting to flare and I can't cope with it right now.,1,guess not feeling feel low throat starting flare cope right now,I guess it is because I am not feeling well that I feel so low. Throat is starting to flare and I cannot cope with it right now.
yeah I watch depressing films like cyberbully because I'm sad and I can connect with it  ,1,yeah watch depressing film like cyberbully sad connect,yeah I watch depressing film like cyberbully because I am sad and I can connect with it
Tripped hard today! This is promising!   ,1,tripped hard today promising,Tripped hard today! This is promising!
Dear Life: Please be gently to me.,1,dear life gently me,Dear Life Please be gently to me.
How would you feel if your parents were to argue each and every single day?  ,1,feel parent argue single day,How would you feel if your parent were to argue each and every single day?
So just been looking at profiles of my other half's family accounts on Twitter and i'm extremely depressed that my life is full of ChronicPain. I'm not living a normal fulfilled life like they are. Why is it taking over my existence..?,1,just looking profile half family account twitter extremely depressed life chronicpain not living normal fulfilled life like are taking existence,So just been looking at profile of my other half is family account on Twitter and i am extremely depressed that my life is full of ChronicPain. I am not living a normal fulfilled life like they are. Why is it taking over my existence..?
"People: ""Just exercise, you'll feel better."" Full depressed me: ""k"" *bikes 20 miles* *showers* *curls into a ball and weeps* ",1,people just exercise feel better depressed me k bike mile shower curl ball weeps,"People Just exercise, you will feel better. Full depressed me k bike mile shower curl into a ball and weeps"
"Live a normal life and have friends and go out and have fun, believe me. But my    etc all stop that. Not by choice???¢",1,live normal life friend fun believe me stop that not choice,"Live a normal life and have friend and go out and have fun, believe me. But my etc all stop that. Not by choice??"
"They say life's short, but I'm bored already.   ",1,say life short bored already,"They say life is short, but I am bored already."
Only the insecure withhold praise of another's achievements     ,1,insecure withhold praise achievement,Only the insecure withhold praise of another is achievement
hate seeing a shit photo of yourself and you think 'is that what i really look like'???«  ,1,hate seeing shit photo think is really look like,hate seeing a shit photo of yourself and you think is that what i really look like ??
Super depressed for no reason! Yaayyy. Screw my life lol   ,1,super depressed reason yaayy screw life lol,Super depressed for no reason! Yaayy. Screw my life lol
"they don't see me when I'm crying running a blade down my ankle, maybe then they'd think twice before they said what they said ",1,not cry running blade ankle maybe think twice said said,"they do not see me when I am cry running a blade down my ankle, maybe then they would think twice before they said what they said"
I've literally been in the bed all day. ,1,literally bed day,I have literally been in the bed all day.
"Felt good that I was at least able to get my laundry started, but haven't done anything past that. Though I've at least fed myself today. :/  ",1,felt good able laundry started not past that fed today,"Felt good that I wa at least able to get my laundry started, but have not done anything past that. Though I have at least fed myself today."
That feeling when everyone is just giving up on you but you're still fighting for them...argh  ,1,feeling just giving fighting themargh,That feeling when everyone is just giving up on you but you are still fighting for them..argh
"Guys, I have nothing to live for. I am tired of living here. Even my friends couldn't cheer me up.   ",1,guy live for tired living here friend not cheer up,"Guys, I have nothing to live for. I am tired of living here. Even my friend could not cheer me up."
"The worst thing about  is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time.  I wish I could just be happy....  pic.twitter.com/zRf2H1L13H",1,worst thing tease thinking getting better drop harder time wish just happy,"The worst thing about is that it tease you thinking you are getting better, but then it drop you back to the bottom harder every time. I wish I could just be happy.."
"Over the past 2 days I've drank 27 bottles of beer, 2 pints of cider and half a bottle of prosecco.  ",1,past day drank bottle beer pint cider half bottle prosecco,"Over the past day I have drank bottle of beer, pint of cider and half a bottle of prosecco."
I'm having trouble catching my breath.,1,having trouble catching breath,I am having trouble catching my breath.
Hello darkness my old friend  I've come to talk with you again...,1,hello darkness old friend come talk again,Hello darkness my old friend I have come to talk with you again..
I think my habit of reading  with morning  is the root cause of the  feeling throughout the day! specially in 2016,1,think habit reading morning root cause feeling day specially,I think my habit of reading with morning is the root cause of the feeling throughout the day! specially in
Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal,1,mentally suffered iwanttodie worthless lifewithoutcolor pain suicidal,Mentally suffered iwanttodie worthless lifewithoutcolor pain suicidal
Really just want someone to talk to late at night. Someone who understands ,1,really just want talk late night understands,Really just want someone to talk to late at night. Someone who understands
Weighing myself after the holidays was a terrible idea,1,weighing holiday terrible idea,Weighing myself after the holiday wa a terrible idea
No more scioly for the rest of the year,1,scioly rest year,No more scioly for the rest of the year
"And I walk around the house and sometimes I think just momentarily that she'll be back to take care of this or that. And I realize she'll never be back. She didn't go away on a trip. She didn't go away on vacation, she's not at work. She didn't go to the store. ",1,walk house think just momentarily care that realize back did not away trip did not away vacation not work did not store,"And I walk around the house and sometimes I think just momentarily that she will be back to take care of this or that. And I realize she will never be back. She did not go away on a trip. She did not go away on vacation, she is not at work. She did not go to the store."
"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else? ",1,account not judged people know cause not like me else,"I made this account so that I would not be judged by the people I know. Cause if I do not like me, why would anyone else?"
Honestly I wouldn't I get why im the last choice for everything ??   ,1,honestly not im choice,Honestly I would not I get why im the last choice for everything ??
"This time of the year is USUALLY full of excitement, not for me ",1,time year usually excitement not,"This time of the year is USUALLY full of excitement, not for me"
"How do you put your heart and souls into something for 5+ years, and get treated like you don't exist there? ",1,heart soul year treated like not exist there,"How do you put your heart and soul into something for years, and get treated like you do not exist there?"
Her: You?!? Depressed?!? But you are ALWAYS SMILING!!  Me: Right. I've learned not to go out in public . It isn't safe out here.,1,her you depressed smiling me right learned not public not safe here,Her You?!? Depressed?!? But you are ALWAYS SMILING!! Me Right. I have learned not to go out in public . It is not safe out here.
Determined to cut the string but have no scissors or knife and I'm  too weak to break it.    pic.twitter.com/bPkMtyrl3t,1,determined cut string scissors knife weak break it,Determined to cut the string but have no scissors or knife and I am too weak to break it.
I'm cramping so fucking bad but bb boy isn't here to rub my tummy. ???¢ ,1,cramping fucking bad bb boy not rub tummy,I am cramping so fucking bad but bb boy is not here to rub my tummy. ??
I shouldnt let it bother me but it does. I hate nights like this when my thoughts wont leave me in peace.  ,1,shouldnt let bother doe hate night like thought wont leave peace,I shouldnt let it bother me but it does. I hate night like this when my thought wont leave me in peace.
Really thinking about killing myself now   ,1,really thinking killing,Really thinking about killing myself now
I'm feeling a little down.. Time for bed.   ,1,feeling little down time bed,I am feeling a little down.. Time for bed.
"This day ended poorly. i ended up calling Sally a ""royal pain in the ass"" which I don't seem to think is very bad. Whatever tho ",1,day ended poorly ended calling sally royal pain as not think bad tho,This day ended poorly. i ended up calling Sally a royal pain in the as which I do not seem to think is very bad. Whatever tho
"I feel like it again, it's been so long since I've been life this. I want to but I don't.  ",1,feel like again long life this want not,"I feel like it again, it is been so long since I have been life this. I want to but I do not."
Why do people have a constant desire to talk to me? Can't y'all just leave me alone to be miserable and wallow in self loathing?,1,people constant desire talk me ca not yall just leave miserable wallow self loathing,Why do people have a constant desire to talk to me? Ca not y all just leave me alone to be miserable and wallow in self loathing?
I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that's so pathetic & humiliating .. ??’”??¤§ ,1,pick piece heart dignity pathetic humiliating,I have to pick up all the piece of my heart dignity! All over again .. by myself .. that is so pathetic humiliating .. ?? ??
Need to get out of this godforsaken place  ,1,need godforsaken place,Need to get out of this godforsaken place
 you're broken into thousands of tiny pieces and will never be put back together again.  ,1,broken thousand tiny piece again,you are broken into thousand of tiny piece and will never be put back together again.
Why don't people listen?,1,not people listen,Why do not people listen?
My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago ,1,sister having emotional breakdown aging death did not seriously month ago,My sister is having an emotional breakdown about aging and death. Something she did not take me seriously about a few month ago
Why is my life so cruel?????,1,life cruel,Why is my life so cruel??
Well after inviting everyone... No one is coming.... ,1,inviting everyone coming,Well after inviting everyone.. No one is coming..
My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so what’s the point of going?,1,mom said going hospital started freaking out threw living room floor not hospital point going,My mom said she wa going to take me to the hospital so I started freaking out. Threw up on the living room floor. Not much the hospital can do for me so what is the point of going?
Today I ate 1 month old rancid meat because I forgot what month it was.   .,1,today ate month old rancid meat forgot month wa,Today I ate month old rancid meat because I forgot what month it was. .
"My Anxiety Disorder, PTSD, Depression   are real and today I am battling. My happiness is fading and my brain is messing with me so badly, I’ve been trying hard not to cry, trying hard just to stay positive but I am struggling.",1,anxiety disorder ptsd depression real today battling happiness fading brain messing badly trying hard not cry trying hard just stay positive struggling,"My Anxiety Disorder, PTSD, Depression are real and today I am battling. My happiness is fading and my brain is messing with me so badly, I have been trying hard not to cry, trying hard just to stay positive but I am struggling."
I feel like he lost interest in me he doesn't text me back…crying sucks…when he saw your story on snapchat…,1,feel like lost doe not text backcrying suckswhen saw story snapchat,I feel like he lost interest in me he doe not text me back cry suck when he saw your story on snapchat
I've just ate 5 bags of sweets. WHAT IS LIFE,1,just ate bag sweet life,I have just ate bag of sweets. WHAT IS LIFE
I feel like I don’t have a purpose in life.,1,feel like not purpose life,I feel like I do not have a purpose in life.
I feel so fucking alone tonight I just don't even care about living right now.,1,feel fucking tonight just not care living right now,I feel so fucking alone tonight I just do not even care about living right now.
Little things that affect you massively.  ,1,little thing affect massively,Little thing that affect you massively.
"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  ",1,tbh not excited celebrate christmas disappointment,"tbh, I am NOT that Excited to celebrate Christmas because of my disappointment - -"
"As the days draw near to the end, I feel as though I'm suffocating and losing a piece of me. It never should've come to this... ",1,day draw near end feel suffocating losing piece me come this,"As the day draw near to the end, I feel a though I am suffocating and losing a piece of me. It never should have come to this.."
I guess I'm just not the kind of person you wanna hang out with...  ,1,guess just not kind person wanna hang with,I guess I am just not the kind of person you wanna hang out with..
No surprised so many with  &  struggle so much when the only help you get is take drugs and if they don't work take more,1,surprised struggle help drug not work,No surprised so many with struggle so much when the only help you get is take drug and if they do not work take more
Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.,1,silence suffocating unbearable deny comfort need most,Silence might be suffocating and unbearable but you cannot deny it comfort when you need it the most.
"I'm sinking so fast, I don't even know where to start to save myself.  ",1,sinking fast not know start save myself,"I am sinking so fast, I do not even know where to start to save myself."
Apparently a mosquito bit the inside of my thigh and all I can think of is how that’s the most action I’ve had in months.,1,apparently mosquito bit inside thigh think action month,Apparently a mosquito bit the inside of my thigh and all I can think of is how that is the most action I have had in months.
"Just a thought, have I become afraid of things, safety in routine, what I know? ?  ",1,just thought afraid thing safety routine know,"Just a thought, have I become afraid of things, safety in routine, what I know? ?"
I hate my life…it never going get better…depression is hell…I feel no one understand me…I only understand myself…,1,hate lifeit going betterdepression helli feel understand mei understand,I hate my life it never going get better depression is hell I feel no one understand me I only understand myself
everything is coming back to me all of a sudden. This ... is not a good feeling at all   ,1,coming sudden not good feeling,everything is coming back to me all of a sudden. This .. is not a good feeling at all
"I know I sound like ,  hot mess. But I just don't know I am related to such mean .",1,know sound like hot mess just not know related mean,"I know I sound like , hot mess. But I just do not know I am related to such mean ."
Wish I had took holidays instead of being at work ,1,wish took holiday instead work,Wish I had took holiday instead of being at work
surrounded by winter and constantly aware of it (,1,surrounded winter constantly aware,surrounded by winter and constantly aware of it
"i'm just a lil boat in the middle of the ocean: lost, alone, & always getting battered by forces beyond my control  ",1,just lil boat middle ocean lost alone getting battered force control,"i am just a lil boat in the middle of the ocean lost, alone, always getting battered by force beyond my control"
A lot of  and  people out there looking for  but can't find it...,1,lot people looking it,A lot of and people out there looking for but cannot find it..
Ever feel like just not eating...or drinking anything?,1,feel like just not eatingor drinking anything,Ever feel like just not eating..or drinking anything?
"Sigh ???” another year coming to a close. For the first time in a while, I want to be alone.  (1/2)",1,sigh year coming close time while want alone,"Sigh ?? another year coming to a close. For the first time in a while, I want to be alone."
"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  ",1,hurt know practically invisible now bother else,"It hurt to know I am practically invisible to you now, that I am more of a bother to you then anything else."
"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â€” feeling depressed",1,year journey expect earth today pet is feeling depressed,"Its been year of journey, I never expect you will go from this earth today pet is! feeling depressed"
I screwed myself over today by refilling my medication holder with the wrong amount of Zoloft. WTF self. That was dumb.  ,1,screwed today refilling medication holder wrong zoloft wtf self dumb,I screwed myself over today by refilling my medication holder with the wrong amount of Zoloft. WTF self. That wa dumb.
thank god this year is over tonight I hated this year so much had very bad year this year fuckd up year   ???¢??????’”???‰,1,thank god year tonight hated year bad year year fuckd year,thank god this year is over tonight I hated this year so much had very bad year this year fuckd up year ?? ?? ??
.  I really don't want to interact with anyone in person  today.,1,really not want interact person today,. I really do not want to interact with anyone in person today.
This night was supposed to be fun but its really not...,1,night supposed fun really not,This night wa supposed to be fun but it really not..
"I was not, am nott and will not be enough ",1,not nott not,"I wa not, am nott and will not be enough"
is my least favorite thing about life....  pic.twitter.com/JZoErLIrgZ,1,favorite thing life,is my least favorite thing about life..
My kids really spending Christmas without me lmao I'm liable to hop on a flight ,1,kid really spending christmas lmao liable hop flight,My kid really spending Christmas without me lmao I am liable to hop on a flight
Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleep’s frail wicker coracle.,1,bed soon dinner adult i mean try wait dark order push away massive pain sleep frail wicker coracle,Often I go to bed a soon after dinner a seems adult I mean I try to wait for dark in order to push away from the massive pain in sleep is frail wicker coracle.
Not looking forward to New Years Eve. Going to be alone. Makes me depressed just thinking about it.   ,1,not looking forward new year eve going alone make depressed just thinking it,Not looking forward to New Years Eve. Going to be alone. Makes me depressed just thinking about it.
"physical wounds heal, people forget what happened to you, how hard you have to fight the demons inside every day. I wish people could see how hard every day is for  have 1/6 of my brain missing, some days are bad...   pic.twitter.com/6d8IwVHsfG",1,physical wound heal people forget happened you hard fight demon inside day wish people hard day brain missing day bad,"physical wound heal, people forget what happened to you, how hard you have to fight the demon inside every day. I wish people could see how hard every day is for have of my brain missing, some day are bad.."
I could prolly ball my eyes out right now...  ,1,prolly ball eye right now,I could prolly ball my eye out right now..
