Text,Label,Score,text_cleaned
@camilluddington the fact that YOURE nervous makes me want to crawl in a hole,fear,0.812,fact youre nervous make want crawl hole
mm nothing like a good old fashioned panic induced cry on your living room floor,fear,0.812,mm like good old fashioned panic induced living room floor
r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!,fear,0.812,r u scared present class severe anxiety whats r u sad sometimes ur depression checked imediately
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,fear,0.812,getting hand freaked deathand god mommagrendel
"In #Bangladesh war, #US almost bombed us had #Russia not been there. What strategy for #China on #Pakistan? Time ripe to crush #terror camps",fear,0.812,bangladesh war bombed russia not there strategy china pakistan time ripe crush terror camp
I have another test tonight #nervous,fear,0.812,test tonight nervous
"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",fear,0.812,interview scare crap me imagined dumb dumb american
Can't believe how nervous I feel tonight...who feels the same #mufc,fear,0.812,ca not believe nervous feel tonightwho feel mufc
@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough,fear,0.812,clown neighborhood creepy enoughisenough
@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy #EnoughIsEnough,fear,0.812,clown neighborhood nightmare creepy enoughisenough
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",fear,0.812,bloody hell pam calm down sworn black amp hairy just ran carpet perilsoflivingalone
She was so posh it frightened me. I'm still scared.,fear,0.81,posh frightened me scared
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear,0.8,wake fresh terror threat sounding alert mumbai praying safety amp security everybody city maharashtra news
"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",fear,0.8,woke nightmare am not sleep more took useallthehotwatershower time read
 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,fear,0.797,ughh just want over like nightmare just along
I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. 😕 #insomnia #anxiety #notfair,fear,0.792,alternate isleepfull sleepless night tonight sleepless one insomnia anxiety notfair
Jimmy Carr makes me want to cry and cry *shiver* ,fear,0.792,jimmy carr make want shiver
in my dream....They were trying to steal my kidney!!! #nightmare #blackmarket #whydidiwatchthat,fear,0.792,dreamthey trying steal kidney nightmare blackmarket whydidiwatchthat
Jimmy Carr makes me want to cry and cry *shiver* #awful,fear,0.792,jimmy carr make want shiver awful
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,fear,0.792,forced fake hug did not flinch litigious past awful
And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life,fear,0.792,piss killed people surrendered hand all hand visible not fearing life
Andrew's hands start shaking and he says 'I hope I die.. like right now',fear,0.792,andrew hand start shaking say i hope die like right now
I dread this drive every Wednesday 😩,fear,0.792,dread drive wednesday
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg",fear,0.792,country gave safe house osama bin laden dangerous not contained pakistan terror heaven declare
Maybe @SamHeughan can send me good luck on my job interview tomorrow. #nervous 😳,fear,0.792,maybe send good luck job interview tomorrow nervous
@alivitali that's what I'm afraid of!,fear,0.792,afraid of
So not pumped for this interview #nervous,fear,0.792,not pumped interview nervous
An @amityaffliction kind of drive home from work today #nightmare #dailyfeels,fear,0.792,kind drive home work today nightmare dailyfeels
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion,fear,0.792,scared coworkers going submit wardrobe makeover show fear fashion
"When you wake up, scroll through social media, and another father was taken from his child #nightmare #everyday #KeithLamontScott",fear,0.787,wake up scroll social medium father taken child nightmare everyday keithlamontscott
hi my names anxiety and i have shaun,fear,0.7759999999999999,hi name anxiety shaun
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started,fear,0.7709999999999999,background suffered bit time stress bit shy year ago aged redundant started
@YahooCare data stolen in 2014 and only now do you tell us .,fear,0.7709999999999999,data stolen tell
I dread math 😴,fear,0.7709999999999999,dread math
@SusannahSpot I could pop round #nightmare,fear,0.7709999999999999,pop round nightmare
@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,fear,0.7709999999999999,shy irl lately feel like doing thing not fit feel lonely
How do you ever stop being #afraid of someone that you live with,fear,0.7709999999999999,stop afraid live
@DSWT I despair at this madness! It's beyond #shocking it's cold blooded murder!  How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay,fear,0.7709999999999999,despair madness shocking cold blooded murder long southafrica stand ampwatch worldrhinoday
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear,0.7709999999999999,dreamthey trying steal kidney blackmarket whydidiwatchthat
So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking 😭😭😭😭😭,fear,0.7709999999999999,go first get book signed amp barely picture cuz shaking
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare,fear,0.7709999999999999,just reverse half way wood collect dog n reverse parked life nightmare
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape,fear,0.7709999999999999,anthonyweiner distraction really going on selection election syria race riot gascrisis nodapl rape
Well this is flipping great! Flipping standstill on the freeway! #anxiety #stepofftheledge #youvegottobekiddingme,fear,0.763,flipping great flipping standstill freeway anxiety stepofftheledge youvegottobekiddingme
When you arrive at the office the day before your first ever festival and the Internet is down #panic,fear,0.75,arrive office day festival internet panic
@WunderlistHelp are you guys still down? When can we go up? #panic,fear,0.75,guy down up panic
The focal points of war lie in #terrorism and the #UN needs to address #violentextremism,fear,0.75,focal point war lie terrorism need address violentextremism
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,fear,0.75,grim despair feelingi look self family hubby fought year country worked year govtgt
Put my passport in a safe back after getting back from Australia 🌏. Only problem is now I can't remember where the safe is!! #panic 🛂,fear,0.75,passport safe getting australia problem remember safe is panic
"@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous 😶",fear,0.75,lydiaa one supposed know make nervous
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol #nightmare,fear,0.75,realistic probability clown president clown uspol nightmare
What the fuck is he even doing ? He should be off that's fucking horrific !,fear,0.75,fuck doing fucking horrific
@AldiToHarrods I'm still too nervous to try it. I need to man up and give it ago.,fear,0.75,nervous try it need man ago
@rsdeepsea @BreitbartNews If 3 people are in a country of 300 million - you are going to RUIN the whole country over 3 people? #fear,fear,0.75,people country million going ruin country people fear
@prw190 #zionist = #terror \nImagine this kid was a #Palestinian or #Muslim\nZionists stealing #innocence of childhood from #Jewish #children,fear,0.75,zionist terror nimagine kid palestinian muslimnzionists stealing innocence childhood jewish child
I don't know how people can binge watch horror films ...ALONE!😓😰,fear,0.75,not know people binge watch horror film alone
Haven't gotten one hour of sleep... Today is going to be a fun day 😐 #restless,fear,0.75,not gotten hour sleep today going fun day restless
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,fear,0.742,scariest american horror story them gonna watch daytime
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,fear,0.742,india right reply unga pakistan preaching human right country global epicentre terrorism
"my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --",fear,0.74,boyfriend forcibly stopped anxiety coping method holding me forcing hand kinda stuff
I thought the nausea and headaches had passed but lol I feel awful today,fear,0.7290000000000001,thought nausea headache passed lol feel awful today
Job interview in the afternoon  #ek,fear,0.7290000000000001,job interview afternoon ek
Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited,fear,0.7290000000000001,tomorrow day cut dye hair nervous excited
A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic,fear,0.7290000000000001,lysol got stuck spray position slowly suffocating trash smell like febreeze factory panic
"# ISIS REFERENCES SCRUBBED?  Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ...  #news",fear,0.7290000000000001,isi reference scrubbed federal complaint suspect nyc nj bombing appears omit terror name bloody journ news
@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a #nightmare!!  #disgusted,fear,0.7290000000000001,car rental realize use nightmare disgusted
searching for what pro and academic writers have to say about #writing #anxiety and #writersblock,fear,0.7290000000000001,searching pro academic writer say writing anxiety writersblock
What an actual nightmare,fear,0.7290000000000001,actual nightmare
Can we go back 2 weeks and start again ?? This is seriously dreadful,fear,0.7290000000000001,week start seriously dreadful
I absolutely love having an anxiety attack halfway through a family meal,fear,0.7290000000000001,absolutely love having anxiety attack halfway family meal
Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA,fear,0.7290000000000001,pakistan biggest victim terrorism nawaz sharif nreally biggest creator terrorism unga
"After #terror our leaders say, 'Don't jump to conclusions,' but [in matters of #racial unrest], they are silent. Why is that? @greggutfeld",fear,0.7290000000000001,terror leader say do not jump conclusion in matter racial unrest silent that
im tired of people telling me the worry about me when in fact they probably never gave a fuck about me,fear,0.7290000000000001,im tired people telling worry fact probably gave fuck
#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !,fear,0.7290000000000001,aleppo city burning head terrorism assad regime amp russia bombarding city right whitephosphrus bomb
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous",fear,0.7290000000000001,bloody hell pam calm down sworn black amp hairy just ran carpet perilsoflivingalone nervous
im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem,fear,0.7290000000000001,im like nothis better moment cuz panic later obviously not better opportunity choose make
"Just heard what happen at grandad hometown last night such a terrible news 💔, hope everyone okay 😢",fear,0.7290000000000001,just heard happen grandad hometown night terrible news hope okay
"@ExaltedCaptain reality in the form of endless tragedies. She didn't know how to react at first, being too frightened to repeat another--",fear,0.7290000000000001,reality form endless tragedy did not know react first frightened repeat another
It's 5:55am. I'm hungry but there is no food. #panic,fear,0.723,am hungry food panic
I have a job interview with @BarclaysUK in Loughborough next month #nervous!!!,fear,0.72,job interview loughborough month nervous
"@AllyTheRipper @ProoF @SpaitoGaming every horror movie that frightened me as a child i.e. 'IT', Halloween movies all of them, nightmare on..",fear,0.72,horror movie frightened child ie it halloween movie them nightmare on
"@JackAndAHat butter up the walls, nightmare",fear,0.708,butter wall nightmare
both afraid of all the same things,fear,0.708,afraid thing
onus is on Pakistan' : MEAIndia after #Uri #terror attack,fear,0.708,onus pakistan meaindia uri terror attack
Don't wanna really go out but I can't say no. Deffo have a fear of missing out,fear,0.708,not wanna really say no deffo fear missing
Biggest #THREAT 2 #GLOBAL #STABILITY? #climatechange #food #water #security #terrorism #russia #war #trump #clinton #geopolitics #korea $vwo,fear,0.708,biggest threat global stability climatechange food water security terrorism russia war trump clinton geopolitics korea vwo
@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice ,fear,0.708,great card crash happened twice
My doctor is giving me flower extract to relieve anxiety and reduce panic attacks :'),fear,0.708,doctor giving flower extract relieve anxiety reduce panic attack
I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit 😭,fear,0.708,soo nervous actually attractive guy try talk person like turn just habit
@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.,fear,0.708,ignoring rioter like current administration ignores terrorism obviously make stop
"I'm okay, dont worry. I wish i'd been a better kid. I'm trying to slow down. I'm sorry for letting you down.",fear,0.708,okay dont worry wish better kid trying slow down sorry letting down
@TimesNow indian army crossed loc into pok to bust terror camp on 20th Sept night?,fear,0.708,indian army crossed loc pok bust terror camp th sept night
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,fear,0.708,horrific situation worse trump elected vote hillary
"@BBCNews 😝 scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1",fear,0.708,scared horror story wrote afraid terror spread europe start ww anniversary ww
my husband lost £800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care #nightmare #airbnbnightmare,fear,0.708,husband lost booked apartment did not exist did not care nightmare airbnbnightmare
"@Tik115 Issue with that is, will the effort involved get back the amount I put into it? That's what I'm fearful of.",fear,0.708,issue is effort involved it fearful of
"Avoiding #fears only makes them scarier. Whatever your #fear, if you face it, it should start to fade. #courage",fear,0.705,avoiding fear make scarier fear face it start fade courage
My anxiety is playing around HELP!!!!!,fear,0.705,anxiety playing help
Got to be up in 4 hours to go back to work #cantsleep #excited #nervous,fear,0.7,got hour work cantsleep excited nervous
my husband lost £800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care  #airbnbnightmare,fear,0.7,husband lost booked apartment did not exist did not care airbnbnightmare
"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS 😁and pick up my new flat keys #anxiety",fear,0.7,tomorrow going challenge talk fresher fair stranger pick new flat key anxiety
I'm afraid she's the goat you libeling people? #afraid #goat #libeling,fear,0.698,afraid goat libeling people afraid goat libeling
"@twlldun @bbcquestiontime @JacobReesMogg @leicesterliz @normanlamb @CarolineLucas @JuliaHB1 Oh god, not Brewer again. The horror, the horror",fear,0.696,oh god not brewer again horror horror
&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(,fear,0.693,gtlt clutter brain recent little change not processed dying panic ivebeenbusierwhyamioverwhelmed
"The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that #fear #Brendonati",fear,0.688,video post convinced not fear brendonati
Someone wake me when @Therealkiss make 2016 remix of 'Why'❗️b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much,fear,0.688,wake make remix whybw terrencecrutcher election colinkapernick terrorism riot much
@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg ,fear,0.688,think shes afraid fight holly imagine go head think cyborg
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 #nightmare,fear,0.688,dream dropped iphone broke tt iphone nightmare
@coopah Worst than going to the morgue to do a positive ID. #horrible Reuters,fear,0.688,worst going morgue positive id horrible reuters
Scott Dann injured aka my worst nightmare,fear,0.688,scott dann injured aka worst nightmare
"bad news fam, life is still hard and awful #depression  #atleastIhaveBuffy",fear,0.688,bad news fam life hard awful depression atleastihavebuffy
induction day tomorrow for pizza express #nervous,fear,0.688,induction day tomorrow pizza express nervous
Dates in the glove box' is pure panic excuse #GBBO,fear,0.688,date glove box pure panic excuse gbbo
"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed",fear,0.688,swear god not smart meter power company month daft bill visit british gas nightmare stressed
I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul ,fear,0.688,panic attack not twitter turn twitter jerk her nyssaalghul
how maybe it was with you and your parents..that I would understand you and your fear of indifference from your own mom and dad..,fear,0.688,maybe parentsthat understand fear indifference mom dad
"My interview went well today, I can't wait to find out what happens. #nervous #excited #interview #jobinterview",fear,0.688,interview went today wait happens nervous excited interview jobinterview
"I'm used to bears, I'm used to coyotes, I love the idea of wolves. But this is hard. I don't want to be fearful of the meadow or the pines.",fear,0.688,used bear used coyote love idea wolf hard not want fearful meadow pine
@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst,fear,0.688,awe feel bad naive ou worst
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity ,fear,0.688,better lonely know worse lonely empty rightn loneliness aloneinthecity
I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,fear,0.688,exact emoji exact moment need panic
@katlute which one....the one where u threaten violence? Or the phedophiliac u support?  Or the constitution violations he proposes?,fear,0.688,onethe u threaten violence phedophiliac u support constitution violation proposes
Watching It Follows.  This is a super freaky movie.  #horror #scary,fear,0.688,watching follows super freaky movie horror scary
Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. #horror,fear,0.688,watching paranormal activity ghost dimension not sure feel yet horror
"Even death is unreliable. Instead of zero it may be some ghastly hallucination, such as the square root of minus one.  Samuel Beckett",fear,0.688,death unreliable instead zero ghastly hallucination square root minus one samuel beckett
@Burnt_Out_Darth @theaterofscifi thanks. #nightmare,fear,0.688,thanks nightmare
#TerrorStatePak we r confirm that #navazsharif is post graduate distinction student of university of #terrorism. He can't spare himself.,fear,0.688,terrorstatepak r confirm navazsharif post graduate distinction student university terrorism spare himself
