Text,Label,text_cleaned_ecpe
I've come to the realization that my phone isn't going to make it through the day. ,1,I have come to the realization that my phone is not going to make it through the day.
Absolutly shocking service from @bookingcom especially when owed £327 Expected better from a comp Ive dealt with 4 yrs #unhappy #badservice,1,Absolutly shocking service from especially when owed 327 Expected better from a comp Ive dealt with 4 yrs unhappy badservice
I'm so ready to take off my sneakers. They hurting me 😭,1,I am so ready to take off my sneakers. They hurting me
"This journey to become a YouTuber isn't easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ain't easy. I do it for the one person that needed the message not the haters.  ",1,"This journey to become a YouTuber is not easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ai not easy. I do it for the one person that needed the message not the haters."
I just don't want to participate anymore.,1,I just do not want to participate anymore.
The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,1,The incredible Dr. David Feifel and I. Would not be alive if it was not for this man! Such an amazing person!
Honestly can’t trust anyone at this point. ????,1,Honestly cannot trust anyone at this point. ??
"?????????? 10 ???????? ??????????, ???????? ??????, ??????! how can I understand that shit??? why is that so fast? ????  ",1,"?? 10 ?? ??, ?? ??, ??! how can I understand that shit?? why is that so fast? ??"
I am not even a nobody to anyone,1,I am not even a nobody to anyone
Can I just stay in bed and do nothing? I'm not feeling life today...,1,Can I just stay in bed and do nothing? I am not feeling life today..
"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?  ",1,"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?"
That moment when you get blindsided by something you wasn't expecting & now in a state of total disappointment & heartache....,1,That moment when you get blindsided by something you was not expecting & now in a state of total disappointment & heartache..
when can I really respect and love myself more than anybody else?,1,when can I really respect and love myself more than anybody else?
Crying once again…I have something repeating in my head over and over…I'm crying…,1,Crying once againI have something repeating in my head over and overI am crying
Done absolute fuck all the last 2days ,1,Done absolute fuck all the last 2days
"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",1,"it sucks when you fall hard for someone, and then they just leave you like it was nothing."
Sometimes love is so painful it eats you up until your nothing   ,1,Sometimes love is so painful it eats you up until your nothing
And I can’t do anything about it ????   pic.twitter.com/xviBD0HpaE,1,And I cannot do anything about it ??
"Riding the metro into , the feeling of  is palpable this morning.",1,"Riding the metro into , the feeling of is palpable this morning."
Just want to stay in bed all day... ,1,Just want to stay in bed all day..
When you feel like shit and have no one to vent too   ,1,When you feel like shit and have no one to vent too
Starting to feel really anxious and sad and empty. ,1,Starting to feel really anxious and sad and empty.
"And now that Im having the other way around, i feel so upset and sad",1,"And now that Im having the other way around, i feel so upset and sad"
Why it's simple to just stop texting,1,Why it is simple to just stop texting
Have to work everyday for the rest of the year ,1,Have to work everyday for the rest of the year
"I've been in a funk all day, just feeling a little down  ",1,"I have been in a funk all day, just feeling a little down"
It's weird that I get 300x more depressed over Christmas break every year.  ,1,It is weird that I get 300x more depressed over Christmas break every year.
"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that's all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left. ",1,"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that is all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left."
I'm gonna see you one last time,1,I am gonna see you one last time
Going through  are like going through .,1,Going through are like going through .
"Well, goodbye gents, my life is over...  ",1,"Well, goodbye gents, my life is over.."
"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe  will be just staying alive..",1,"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe will be just staying alive.."
When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,1,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again
Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1,Going to have to say goodbye to our beloved pup in the upcoming weeks.
"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",1,"Here it is, 1:20am, and I am wide awake. I thought was supposed to know my ass out? Instead my mind is racing."
That moment when your depression kicks in even more....,1,That moment when your depression kicks in even more..
"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again. ",1,"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again."
A boo would be nice but nobody loves me ????,1,A boo would be nice but nobody loves me ??
"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",1,"It used to be talking about nothing for hours, now it is just not talking. Really, what happened??"
I just want to watch One Punch Man and not get out of bed.,1,I just want to watch One Punch Man and not get out of bed.
I can tell by the end of the night I'm gonna cut my arm  ,1,I can tell by the end of the night I am gonna cut my arm
I want this to be a good day but this monster keeps pushing me down ,1,I want this to be a good day but this monster keeps pushing me down
Forgot my cheese cake at work ,1,Forgot my cheese cake at work
ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,1,ha ha i just realised that i have never actually been to therapy and i still do not know if i am depressed or just sad all the time
i feel like i'm a prisoner of my own life.. like as if my life was a jail and i'm doing a lifetime sentence ,1,i feel like i am a prisoner of my own life.. like as if my life was a jail and i am doing a lifetime sentence
It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,1,It is AmazonPrimeDay! And I am broke. So in reality it just another day for me depressing
Being lost in my own mind   ,1,Being lost in my own mind
Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,1,Ke na le problem le guys.. there are way too many of us in the world to have some people find themselves lonely and alone.
"If there's one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh.   ",1,"If there is one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh."
It's funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1,It is funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?
i'd kill myself if it was that easy,1,i would kill myself if it was that easy
My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,1,My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP
being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘�??�½ story of my life ,1,being all sweet and nice to a guy then realizing how he never really deserved any of it ??'?? story of my life
I'm so upset 😭,1,I am so upset
jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on … leaving me to fester under the poverty line for 10 years,1,jfc ANOTHER bad morning I dont even have anything to be depressed about oh hang on leaving me to fester under the poverty line for 10 years
"41 year old woman wth chronic pain,  and  ""I've noticed that I'm not breaking down crying everyday, my mood seems to be more positive and the intense, intrusive thoughts aren't as strong. It's only been 6 micro doses but I feel like I'm seeing some improvement.""  pic.twitter.com/CFTdb6q2ka",1,"41 year old woman wth chronic pain, and ""I have noticed that I am not breaking down crying everyday, my mood seems to be more positive and the intense, intrusive thoughts are not as strong. It is only been 6 micro doses but I feel like I am seeing some improvement."""
I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE   ,1,I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE
: this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck,1,: this year was fuckd up I cannot wait for it to be over I hated this year still depressed hard time getting over it ??' fuck
"   I do not know anymore who I am in life because of my parents . I don’t know if I still own my life the fact I feel shallow. Why does life always seem to be unfair , to the point u feel nothing.",1,"I do not know anymore who I am in life because of my parents . I do not know if I still own my life the fact I feel shallow. Why does life always seem to be unfair , to the point u feel nothing."
"When bad dreams come true, got me feeling like Crapulet ",1,"When bad dreams come true, got me feeling like Crapulet"
"Suffering from serious depression ????  Sucks my plans, times everything ????   ",1,"Suffering from serious depression ?? Sucks my plans, times everything ??"
"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? ",1,"Depression..SUCKS!! I would NEVER wish this on anyone, it just..sucks. Tired of it controlling my life, I really am??"
And literally 30 or more things that was the reason to live and how to not be  but wasn't really AT ALL. A++ for intent tho.,1,And literally 30 or more things that was the reason to live and how to not be but was not really AT ALL. A++ for intent tho.
A lot of people but they don't know me well.,1,A lot of people but they do not know me well.
"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   ",1,"So, apart from one 10 minute medical appointment, I have not seen or spoken to another person since Sunday."
"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. ",1,"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine."
I went to church with my mom and a huge chunk of the sermon was basically “if you’re  it’s because your faith is weak” and ... this is why I don’t go to church or tell my mom I’m on antidepressants ???????,1,I went to church with my mom and a huge chunk of the sermon was basically if you are it is because your faith is weak and .. this is why I do not go to church or tell my mom I am on antidepressants ??
Let me just sit here and wallow in self pity ,1,Let me just sit here and wallow in self pity
"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it.  Top it off anxiety is at a high too.  ",1,"Feeling okish one minute then ?? for no reason what is so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it. Top it off anxiety is at a high too."
I’m watching my show and its still not keeping my  depression and anxiety at bay. This stress is crushing me :(,1,I am watching my show and its still not keeping my depression and anxiety at bay. This stress is crushing me
I guess it's because I'm not feeling well that I feel so low.  Throat is starting to flare and I can't cope with it right now.,1,I guess it is because I am not feeling well that I feel so low. Throat is starting to flare and I cannot cope with it right now.
yeah I watch depressing films like cyberbully because I'm sad and I can connect with it  ,1,yeah I watch depressing films like cyberbully because I am sad and I can connect with it
Tripped hard today! This is promising!   ,1,Tripped hard today! This is promising!
Dear Life: Please be gently to me.,1,Dear Life: Please be gently to me.
How would you feel if your parents were to argue each and every single day?  ,1,How would you feel if your parents were to argue each and every single day?
So just been looking at profiles of my other half's family accounts on Twitter and i'm extremely depressed that my life is full of ChronicPain. I'm not living a normal fulfilled life like they are. Why is it taking over my existence..?,1,So just been looking at profiles of my other half is family accounts on Twitter and i am extremely depressed that my life is full of ChronicPain. I am not living a normal fulfilled life like they are. Why is it taking over my existence..?
"People: ""Just exercise, you'll feel better."" Full depressed me: ""k"" *bikes 20 miles* *showers* *curls into a ball and weeps* ",1,"People: ""Just exercise, you will feel better."" Full depressed me: ""k"" *bikes 20 miles* *showers* *curls into a ball and weeps*"
"Live a normal life and have friends and go out and have fun, believe me. But my    etc all stop that. Not by choice???¢",1,"Live a normal life and have friends and go out and have fun, believe me. But my etc all stop that. Not by choice??"
"They say life's short, but I'm bored already.   ",1,"They say life is short, but I am bored already."
Only the insecure withhold praise of another's achievements     ,1,Only the insecure withhold praise of another is achievements
hate seeing a shit photo of yourself and you think 'is that what i really look like'???«  ,1,hate seeing a shit photo of yourself and you think 'is that what i really look like'??
Super depressed for no reason! Yaayyy. Screw my life lol   ,1,Super depressed for no reason! Yaayy. Screw my life lol
"they don't see me when I'm crying running a blade down my ankle, maybe then they'd think twice before they said what they said ",1,"they do not see me when I am crying running a blade down my ankle, maybe then they would think twice before they said what they said"
I've literally been in the bed all day. ,1,I have literally been in the bed all day.
"Felt good that I was at least able to get my laundry started, but haven't done anything past that. Though I've at least fed myself today. :/  ",1,"Felt good that I was at least able to get my laundry started, but have not done anything past that. Though I have at least fed myself today."
That feeling when everyone is just giving up on you but you're still fighting for them...argh  ,1,That feeling when everyone is just giving up on you but you are still fighting for them..argh
"Guys, I have nothing to live for. I am tired of living here. Even my friends couldn't cheer me up.   ",1,"Guys, I have nothing to live for. I am tired of living here. Even my friends could not cheer me up."
"The worst thing about  is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time.  I wish I could just be happy....  pic.twitter.com/zRf2H1L13H",1,"The worst thing about is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time. I wish I could just be happy.."
"Over the past 2 days I've drank 27 bottles of beer, 2 pints of cider and half a bottle of prosecco.  ",1,"Over the past 2 days I have drank 27 bottles of beer, 2 pints of cider and half a bottle of prosecco."
I had everything and I have nothing.,1,I had everything and I have nothing.
I'm having trouble catching my breath.,1,I am having trouble catching my breath.
It creeps up on you    ,1,It creeps up on you
Hello darkness my old friend  I've come to talk with you again...,1,Hello darkness my old friend I have come to talk with you again..
I think my habit of reading  with morning  is the root cause of the  feeling throughout the day! specially in 2016,1,I think my habit of reading with morning is the root cause of the feeling throughout the day! specially in 2016
Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal,1,Mentally suffered iwanttodie worthless lifewithoutcolor pain suicidal
Really just want someone to talk to late at night. Someone who understands ,1,Really just want someone to talk to late at night. Someone who understands
Weighing myself after the holidays was a terrible idea,1,Weighing myself after the holidays was a terrible idea
No more scioly for the rest of the year,1,No more scioly for the rest of the year
"And I walk around the house and sometimes I think just momentarily that she'll be back to take care of this or that. And I realize she'll never be back. She didn't go away on a trip. She didn't go away on vacation, she's not at work. She didn't go to the store. ",1,"And I walk around the house and sometimes I think just momentarily that she will be back to take care of this or that. And I realize she will never be back. She did not go away on a trip. She did not go away on vacation, she is not at work. She did not go to the store."
"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else? ",1,"I made this account so that I would not be judged by the people I know. Cause if I do not like me, why would anyone else?"
Honestly I wouldn't I get why im the last choice for everything ??   ,1,Honestly I would not I get why im the last choice for everything ??
"This time of the year is USUALLY full of excitement, not for me ",1,"This time of the year is USUALLY full of excitement, not for me"
"How do you put your heart and souls into something for 5+ years, and get treated like you don't exist there? ",1,"How do you put your heart and souls into something for 5+ years, and get treated like you do not exist there?"
Her: You?!? Depressed?!? But you are ALWAYS SMILING!!  Me: Right. I've learned not to go out in public . It isn't safe out here.,1,Her: You?!? Depressed?!? But you are ALWAYS SMILING!! Me: Right. I have learned not to go out in public . It is not safe out here.
Determined to cut the string but have no scissors or knife and I'm  too weak to break it.    pic.twitter.com/bPkMtyrl3t,1,Determined to cut the string but have no scissors or knife and I am too weak to break it.
I'm cramping so fucking bad but bb boy isn't here to rub my tummy. ???¢ ,1,I am cramping so fucking bad but bb boy is not here to rub my tummy. ??
I shouldnt let it bother me but it does. I hate nights like this when my thoughts wont leave me in peace.  ,1,I shouldnt let it bother me but it does. I hate nights like this when my thoughts wont leave me in peace.
Really thinking about killing myself now   ,1,Really thinking about killing myself now
I'm feeling a little down.. Time for bed.   ,1,I am feeling a little down.. Time for bed.
"This day ended poorly. i ended up calling Sally a ""royal pain in the ass"" which I don't seem to think is very bad. Whatever tho ",1,"This day ended poorly. i ended up calling Sally a ""royal pain in the ass"" which I do not seem to think is very bad. Whatever tho"
"I feel like it again, it's been so long since I've been life this. I want to but I don't.  ",1,"I feel like it again, it is been so long since I have been life this. I want to but I do not."
Why do people have a constant desire to talk to me? Can't y'all just leave me alone to be miserable and wallow in self loathing?,1,Why do people have a constant desire to talk to me? Ca not y'all just leave me alone to be miserable and wallow in self loathing?
I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that's so pathetic & humiliating .. ??’”??¤§ ,1,I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that is so pathetic & humiliating .. ??'??
Need to get out of this godforsaken place  ,1,Need to get out of this godforsaken place
 you're broken into thousands of tiny pieces and will never be put back together again.  ,1,you are broken into thousands of tiny pieces and will never be put back together again.
Why don't people listen?,1,Why do not people listen?
My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago ,1,My sister is having an emotional breakdown about aging and death. Something she did not take me seriously about a few months ago
Why is my life so cruel?????,1,Why is my life so cruel??
Well after inviting everyone... No one is coming.... ,1,Well after inviting everyone.. No one is coming..
My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so what’s the point of going?,1,My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor. Not much the hospital can do for me so what is the point of going?
Today I ate 1 month old rancid meat because I forgot what month it was.   .,1,Today I ate 1 month old rancid meat because I forgot what month it was. .
"My Anxiety Disorder, PTSD, Depression   are real and today I am battling. My happiness is fading and my brain is messing with me so badly, I’ve been trying hard not to cry, trying hard just to stay positive but I am struggling.",1,"My Anxiety Disorder, PTSD, Depression are real and today I am battling. My happiness is fading and my brain is messing with me so badly, I have been trying hard not to cry, trying hard just to stay positive but I am struggling."
I feel like he lost interest in me he doesn't text me back…crying sucks…when he saw your story on snapchat…,1,I feel like he lost interest in me he does not text me backcrying suckswhen he saw your story on snapchat
I've just ate 5 bags of sweets. WHAT IS LIFE,1,I have just ate 5 bags of sweets. WHAT IS LIFE
I feel like I don’t have a purpose in life.,1,I feel like I do not have a purpose in life.
I feel so fucking alone tonight I just don't even care about living right now.,1,I feel so fucking alone tonight I just do not even care about living right now.
Little things that affect you massively.  ,1,Little things that affect you massively.
"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  ",1,"tbh, I am NOT that Excited to celebrate Christmas because of my disappointments -__-"
"As the days draw near to the end, I feel as though I'm suffocating and losing a piece of me. It never should've come to this... ",1,"As the days draw near to the end, I feel as though I am suffocating and losing a piece of me. It never should have come to this.."
I guess I'm just not the kind of person you wanna hang out with...  ,1,I guess I am just not the kind of person you wanna hang out with..
No surprised so many with  &  struggle so much when the only help you get is take drugs and if they don't work take more,1,No surprised so many with & struggle so much when the only help you get is take drugs and if they do not work take more
Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.,1,Silence might be suffocating and unbearable but you cannot deny its comfort when you need it the most.
"I'm sinking so fast, I don't even know where to start to save myself.  ",1,"I am sinking so fast, I do not even know where to start to save myself."
Apparently a mosquito bit the inside of my thigh and all I can think of is how that’s the most action I’ve had in months.,1,Apparently a mosquito bit the inside of my thigh and all I can think of is how that is the most action I have had in months.
"Just a thought, have I become afraid of things, safety in routine, what I know? ?  ",1,"Just a thought, have I become afraid of things, safety in routine, what I know? ?"
I hate my life…it never going get better…depression is hell…I feel no one understand me…I only understand myself…,1,I hate my lifeit never going get betterdepression is hellI feel no one understand meI only understand myself
everything is coming back to me all of a sudden. This ... is not a good feeling at all   ,1,everything is coming back to me all of a sudden. This .. is not a good feeling at all
"I know I sound like ,  hot mess. But I just don't know I am related to such mean .",1,"I know I sound like , hot mess. But I just do not know I am related to such mean ."
Wish I had took holidays instead of being at work ,1,Wish I had took holidays instead of being at work
surrounded by winter and constantly aware of it (,1,surrounded by winter and constantly aware of it (
"i'm just a lil boat in the middle of the ocean: lost, alone, & always getting battered by forces beyond my control  ",1,"i am just a lil boat in the middle of the ocean: lost, alone, & always getting battered by forces beyond my control"
A lot of  and  people out there looking for  but can't find it...,1,A lot of and people out there looking for but cannot find it..
Ever feel like just not eating...or drinking anything?,1,Ever feel like just not eating..or drinking anything?
"Sigh ???” another year coming to a close. For the first time in a while, I want to be alone.  (1/2)",1,"Sigh ?? another year coming to a close. For the first time in a while, I want to be alone. (1/2)"
"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  ",1,"It hurts to know I am practically invisible to you now, that I am more of a bother to you then anything else."
"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â€” feeling depressed",1,"Its been 14 years of journey, I never expect you will go from this earth today pet is! feeling depressed"
I screwed myself over today by refilling my medication holder with the wrong amount of Zoloft. WTF self. That was dumb.  ,1,I screwed myself over today by refilling my medication holder with the wrong amount of Zoloft. WTF self. That was dumb.
thank god this year is over tonight I hated this year so much had very bad year this year fuckd up year   ???¢??????’”???‰,1,thank god this year is over tonight I hated this year so much had very bad year this year fuckd up year ??'??
.  I really don't want to interact with anyone in person  today.,1,. I really do not want to interact with anyone in person today.
This night was supposed to be fun but its really not...,1,This night was supposed to be fun but its really not..
"I was not, am nott and will not be enough ",1,"I was not, am nott and will not be enough"
is my least favorite thing about life....  pic.twitter.com/JZoErLIrgZ,1,is my least favorite thing about life..
My kids really spending Christmas without me lmao I'm liable to hop on a flight ,1,My kids really spending Christmas without me lmao I am liable to hop on a flight
Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleep’s frail wicker coracle.,1,Often I go to bed as soon after dinner as seems adult (I mean I try to wait for dark) in order to push away from the massive pain in sleep is frail wicker coracle.
Not looking forward to New Years Eve. Going to be alone. Makes me depressed just thinking about it.   ,1,Not looking forward to New Years Eve. Going to be alone. Makes me depressed just thinking about it.
"physical wounds heal, people forget what happened to you, how hard you have to fight the demons inside every day. I wish people could see how hard every day is for  have 1/6 of my brain missing, some days are bad...   pic.twitter.com/6d8IwVHsfG",1,"physical wounds heal, people forget what happened to you, how hard you have to fight the demons inside every day. I wish people could see how hard every day is for have 1/6 of my brain missing, some days are bad.."
I could prolly ball my eyes out right now...  ,1,I could prolly ball my eyes out right now..
Don't know why I feel so  today. :/,1,Do not know why I feel so today. :/
No job. No car. No money. No worth. .... ..... ....... That’s kinda where I am @ right now.,1,No job. No car. No money. No worth. .. .. .. That is kinda where I am right now.
"No matter how hard I try, I cannot force her memories from my mind. As much I loved and love her, I don't want to think about how much I miss her. She was the person I need the most when I feel this way. She would talk to me, she would spend time with me. ",1,"No matter how hard I try, I cannot force her memories from my mind. As much I loved and love her, I do not want to think about how much I miss her. She was the person I need the most when I feel this way. She would talk to me, she would spend time with me."
I'm  the same way the Jews were depressed right before they LEFT  !!!,1,I am the same way the Jews were depressed right before they LEFT !!
2AM where do i begin? crying off my face again.,1,2AM where do i begin? crying off my face again.
Just hoping that 2015 will be better. That would be great.   ,1,Just hoping that 2015 will be better. That would be great.
oh crap...I lost $100 on poker games yesterday :(,1,oh crap..I lost $100 on poker games yesterday
"It's turning into a feel like crying night but can't, mmm.  times",1,"It is turning into a feel like crying night but cannot, mm. times"
"Waste of time at the GPs this morning regarding  and  feelings. Given some numbers to call for NHS self referral counselling which has up to a 12 month wait ?? The attitude is a ""get on with it"" or change areas of your life you're not happy with ??",1,"Waste of time at the GPs this morning regarding and feelings. Given some numbers to call for NHS self referral counselling which has up to a 12 month wait ?? The attitude is a ""get on with it"" or change areas of your life you are not happy with ??"
Anyone want to talk? I'm feeling depressed,1,Anyone want to talk? I am feeling depressed
"I give u all u want &when I say Omg look! I always get late reactions, or you just straight up miss it.   pic.twitter.com/MXifaMocGY",1,"I give u all u want &when I say Omg look! I always get late reactions, or you just straight up miss it."
No haircut today ???«    Work in a bit  smh,1,No haircut today ?? Work in a bit smh
Can't believe I'm missing my favourite night ??’” ,1,Ca not believe I am missing my favourite night ??'
You don't understand  until you can't stand your own presence in an empty room.,1,You do not understand until you cannot stand your own presence in an empty room.
Working New Years Eve ????????,1,Working New Years Eve ??
"I almost rear-ended someone stupidly bad earlier because my brain, and body are so exhausted, mentally and physically. My anxiety has been so bad today. Its been a struggle..   ",1,"I almost rear-ended someone stupidly bad earlier because my brain, and body are so exhausted, mentally and physically. My anxiety has been so bad today. Its been a struggle.."
I honestly don't even wanna go to work.  ,1,I honestly do not even wanna go to work.
Depression and man flu good end to the year,1,Depression and man flu good end to the year
i miss being 13 because now im 17 and,1,i miss being 13 because now im 17 and
"Nobody understands, I don't even understand most of the time..... ",1,"Nobody understands, I do not even understand most of the time.."
"My brain caught a bug, Or maybe it was my heart, Darkness gives a fucj    ",1,"My brain caught a bug, Or maybe it was my heart, Darkness gives a fucj"
Fighting with exboyfriend-  Me: I need space.  Him: Maybe if you didn't take so many meds... Me: hahahahahaha   ,1,Fighting with exboyfriend- Me: I need space. Him: Maybe if you did not take so many meds.. Me: hahahahahaha
My Worse Fear About This Whole Thing Has Cane True.???” ,1,My Worse Fear About This Whole Thing Has Cane True.??
"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this",1,"With all of this unnessary family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this"
When you feel like a stranger in your own environment.   pic.twitter.com/w1sj4IlSUa,1,When you feel like a stranger in your own environment.
Lost my job 3 1/2 months ago. Broke my back 2 weeks later.. bank account laughs when I need to pay bills or buy food..    I’ll keep fighting this up hill battle till I can’t but I need a vacation to reboot or find life!,1,Lost my job 3 1/2 months ago. Broke my back 2 weeks later.. bank account laughs when I need to pay bills or buy food.. I will keep fighting this up hill battle till I cannot but I need a vacation to reboot or find life!
I need an IBF and takers...  ,1,I need an IBF and takers..
"Amazing how you can be so fatigued and unmotivated, then a few sweet words of encouragement can mobilize you in minutes to leave the house. Words like ""He didn't deserve you"" or ""You can get better."" Or ""Chinese food buffet."" I'm not proud but that's where I am. ",1,"Amazing how you can be so fatigued and unmotivated, then a few sweet words of encouragement can mobilize you in minutes to leave the house. Words like ""He did not deserve you"" or ""You can get better."" Or ""Chinese food buffet."" I am not proud but that is where I am."
"Someone has told me, ""You have very pretty eyes and a smile.. but it's hard to ignore the Hurt, sadness & disappointment behind it."" ??",1,"Someone has told me, ""You have very pretty eyes and a smile.. but it is hard to ignore the Hurt, sadness & disappointment behind it."" ??"
Have u ever felt so  u feel like u have to throw up 24/7 ????,1,Have u ever felt so u feel like u have to throw up 24/7 ??
What should i do with my life...so many things that i should do but so many things i dont wanna be doing,1,What should i do with my life..so many things that i should do but so many things i dont wanna be doing
Found out the peraon i liked wanted to that someone else #sadness,1,Found out the peraon i liked wanted to that someone else sadness
Back to the same stage where I was once in the month of May-June!   I wish I could delete year 2016 forever!,1,Back to the same stage where I was once in the month of May-June! I wish I could delete year 2016 forever!
Today is just Monday and I have one this week before going back to wat I call a nightmare SCHOOL!!  ,1,Today is just Monday and I have one this week before going back to wat I call a nightmare SCHOOL!!
"Sleep always makes the pain go away. It might not be for long, but at least it's gone. ",1,"Sleep always makes the pain go away. It might not be for long, but at least it is gone."
