Text,Label
It is the first purpose of  to make  bearable. Robert Brault,0
@whounfollowedme - I'm #very #glad to see You in my community !,0
"Gene Simmons, Ph.D. offers mental wellbeing to  souls. ",0
"@J_UGO_ @TopPlanet63 Vestiti Black and White, stile blues Brothers",0
I've come to the realization that my phone isn't going to make it through the day. ,1
Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,0
Absolutly shocking service from @bookingcom especially when owed £327 Expected better from a comp Ive dealt with 4 yrs #unhappy #badservice,1
@Orin_Atlantis 'I am much more cheerful when you are around',0
One of my best friends got engaged ????  ,0
"today I died to a mech in fortnite I'm  and , going to blAcK ouT my profile picture smh my head",0
I forgive everyone. It's rare for me to hold a grudge.,0
2 more weeks! 😮😊  #painfree,0
The  in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership',0
@hymie094 Me too.....without hesitation.,0
I'm so ready to take off my sneakers. They hurting me 😭,1
"People bring you down. Love fails from time to time. You get lost, then can't find your way.   ",0
!!   2016 officially the worst year in history!!! ,0
"This journey to become a YouTuber isn't easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ain't easy. I do it for the one person that needed the message not the haters.  ",1
145  ????????????????????????????????????????  ???????????????????????????????????  ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????  ??????????????????????????????????????????????????????  ?????????????????????????????????????????????????????????????????????????????????,0
I just don't want to participate anymore.,1
"Quote of the day comes from Queen Cersei herself @IAMLenaHeadey 'Power hungry people are fearful, otherwise why wouldn't you just chill?' 👏",0
"@mandzvester 😂😂😂\nThats why I work on my own, to many miserable fok around 😂\nAfternoon Smiley😃x",0
"John 14:27\nLet not your heart be troubled, neither let it be afraid. #peace #afraid",0
It's now raining and I can hear thunder growl somewhere. Good day to read some more.,0
Gonna find my baby gonna hold her tight gonna grab me some afternoon delight,0
"@johntassparker Well, at the time, I think there was that concern. Now it is all bright and shiny with a price tag to match.",0
Something nobody will read   .  pic.twitter.com/XQ5Qtey1B4,0
The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,1
 to combat  make your bed in the AM so you're less inclined to get back in it & stay there all day.,0
"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",0
"""Anxiety is like a tornado, the most violent, horrific, and destructive atmospheric phenomenon""  ",0
@SatisfyingTaste @TheAnimalVines I used to make the peanut butter energy balls all the time. My famjam loved them! #recipes #yummy,0
"@Kara1818 I’m glad to hear that, Kara. Don’t hesitate to get in touch again if you need to! Cheryl",0
Anohni's  is the underrated album of the year.,0
This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,0
Honestly can’t trust anyone at this point. ????,1
"?????????? 10 ???????? ??????????, ???????? ??????, ??????! how can I understand that shit??? why is that so fast? ????  ",1
@DOBrienAJC What did you do to rile up all the Roberts?,0
@huedrinkwater happy birthday cuzy xxx,0
Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,0
"No mater how many times you lose in a game, it will always tell you ""try again""... When things go sideways, sit back and enjoy a favorite game.   ",0
"We are open all through this  for info, advice or even a chat: 0800 4 70 80 90    pic.twitter.com/0g6kGdIoPI",0
I am not even a nobody to anyone,1
"So close to  just wondering why in feeling so  ""'tis the season to be Jolly""",0
@emaalymaae Looks beautiful 😘,0
Why are people on twitter so depressing...,0
"So excited for tonight, I actually feel a bit sick 😅",0
Oh sorry I'm on your bestfriends list?   ,0
@JustinOEarlwood #awesome news for the blues,0
Can I just stay in bed and do nothing? I'm not feeling life today...,1
Johnny Cash going on day three sleeping in my bed. I must be severely depressed cus he can sense it.  ,0
No matter how much you tell yourself that you've accepted relegation it takes a day like today to prove that you haven't,0
??’•you are significant ??’•    pic.twitter.com/28QHqxYkc9,0
seeing sope perform otsukare always makes me happy no matter how much of a bad day I have,0
"Bertolacci will join Genoa on a dry loan with no option to buy, done deal- Sky....At last he's gone #rejoice",0
Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s,0
"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?  ",1
Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 😁 #niallhoran #Dublin #music ,0
Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ,0
promoting taeny while tiff is here yes 👌,0
"@magicpencil I'd just whip up a cake batter or cookies &amp; throw it in 😀 bakewell, frangipani is made with almonds",0
@MaxineWaters Love you! #relentless Thank you for being a voice for our country!,0
Look at this little guy! He is connecting to his magical self.😇\nWhat do you do to keep life magical?🌈 @AnewPerspective #magical  #be,0
Its 2:37 & I event left nor have I ate....,0
Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying,0
NEW MUSIC FRIDAY: FIRST SINGLE OFF THE NEXT PROJECT. #untitled #mattrod #hiphop #boston #hartford #animosity #thesemycities,0
Can't stop listening to the  album  so beautiful  pic.twitter.com/NoKZ0e1Hlp,0
That moment when you get blindsided by something you wasn't expecting & now in a state of total disappointment & heartache....,1
when can I really respect and love myself more than anybody else?,1
I just asked this customer about her cable box and she went left field and was telling me all the issues in her life ????,0
Damn so much snow why did I even look outside  ???”,0
Love to find pics of me! (not my pic) Because love hurts ???§???¥    ??’”,0
"If I DM you , Will you reply me...?   ",0
My love for black people does not mean I resent white people.,0
Crying once again…I have something repeating in my head over and over…I'm crying…,1
Happy happy birthday to the girl who never fails to brighten up everyone's day! Thank you for everything! I'll always be here for you. 🤗,0
Someone quoted and hash tagged one of my tweets once with ,0
"You are MINE, my baby, my headache, my love, my smile, my frown, my wrong, my right, my pain, my happiness, my everything.",0
Nearly 12 o'clock and we are here listening to music and my girlie is making me howl with her dancing #oldtunes #daughter #laughs #memories,0
On our way to #Gamescom17 What can we expect and who will we meet? #excitement,0
Done absolute fuck all the last 2days ,1
People with depression are 4x more likely to have a heart attack ,0
OMG! The commanding staff soon sensing the  of the situation of the country estimated at 70 billion,0
My mom's Puerto Rican. That's why i'm so lively and colorful.,0
"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",1
I accidentally Fucked up my hair  ??????,0
My soon to be ex wife needs to learn to chill out &amp; smile ,0
"New Years Eve,The day I always dread.???? ",0
This time last year I was on a plane to New York...,0
@jaimitoelcrack7 Seriously...I've been sitting here for five minutes watching this in awe. It never gets less amazing.,0
"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",0
This is the day that the lord has made I will rejoice and BE GLAD IN IT! 🙌🏿🌟 #blessed #favored #loved #,0
Getting on the jd and coke   ,0
Sometimes love is so painful it eats you up until your nothing   ,1
And I can’t do anything about it ????   pic.twitter.com/xviBD0HpaE,1
Take #photographs of life and write them in #journals #motivation #inspiration #life  #love #inspire #smile #quotestoliveby,0
Go harder when everyone else has had enough. #relentless #Cleaner,0
"Riding the metro into , the feeling of  is palpable this morning.",1
Just want to stay in bed all day... ,1
" aw this Steve story is heartbreaking.  is THE Worst feeling in the world. Well done, great job on storyline ???‰",0
"Morning! Good vibes today people!! It's July 11, 2017 at 09:00AM #goodmorning #twitter #happy",0
When you feel like shit and have no one to vent too   ,1
"""I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone"".   ",0
Then daddy wanna call talking bout wake up and shake that ass 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,0
@aacobe so you no its bibby time  lol,0
"Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness: - Psalm 95:8 KJV",0
Starting to feel really anxious and sad and empty. ,1
I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?,0
My morning protein shake. Delicious way to assure I start my day the right way with 21 gms of whey protein. #protein #shake #morning,0
"And now that Im having the other way around, i feel so upset and sad",1
Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,0
The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again.  ,0
Imagine having a figure like  ffs I’d never wear clothes! shes just bloody perfect - wish I hadn’t seen these photos    pic.twitter.com/EKeUu6aXvY,0
@Arquipimp 😂😂😂😂\nU mean overprice English clubs\nReal Madrid see bayern as no threat then look 😂,0
@LisaCim @AcaciaEvans This is the best picture I have ever seen! #beautiful #happy,0
When you're saving loads of money not drinking so you start buying ALL THE THINGS #sobergirlproblems  #sobriety,0
The  is no joke as I have suffered from   myself at this time of year I implore you to look after yourself & loved ones,0
Why it's simple to just stop texting,1
Have to work everyday for the rest of the year ,1
"I've been in a funk all day, just feeling a little down  ",1
"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little.",0
It's weird that I get 300x more depressed over Christmas break every year.  ,1
@CutTimeComic They are adorable !!! I need them all 😭,0
Real happiness comes from the person who you truly love the most.. 😍 #071117,0
Before you label yourself as  or low  make sure you're not simply in fact surrounded by... pic.twitter.com/QrpK8Kn9pR,0
I am the writer of my own disasters,0
Wish I was watching a meaningful game. ,0
"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that's all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left. ",1
@mrsebastian696 @Twitter HAPPY BIRTHDAY!! :D,0
I'm gonna see you one last time,1
Going through  are like going through .,1
Ot6 still exist? #julid #deletesoon ,0
i do love shack shake,0
Listening to @danauerbach and watching the #eclipse at the dog park #bliss,0
"Well, goodbye gents, my life is over...  ",1
"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe  will be just staying alive..",1
Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,0
"With ageing populations at risk of  and  (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6",0
When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,1
Damn I'm the only one who didn't get JB tickets??,0
Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1
"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",1
@BugsySeigal been reading your Twitter this lunchtime... you're very angry aren't you 😂😂,0
One of the common misunderstandings about depression is that it's similar to feeling sad or down. Sometimes a people with hopelessness feels depression or vice versa.     pic.twitter.com/iS5JSTQKPP,0
"I'm an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame",0
Still can't fit any of my jeans. ,0
Less than 7 weeks to go ,0
Only the insecure withhold praise of another's achievements     ,0
That moment when your depression kicks in even more....,1
All I want is get my sister @ashleyclaw &amp; @chrisdelia in a room and listen to both of them laugh #Hollywoodimprov #laughteristhebestmeds #😂,0
"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again. ",1
All my photos from July disappeared. I could cry. Santa what have you done............,0
Hey @TheTimMcGraw #imwearingyourshirt today!! #humbleandkind  #awesomeness #timmcgraw #wqmx @949WQMX @KeepinItCntry @JulieMN13,0
@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,0
A boo would be nice but nobody loves me ????,1
Happy right now I just beaten the second game of crash bandicoot one more to go now didn't get that mad 😡 at the game lol 😂,0
"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",1
@PrisonPlanet @DonaldJTrumpJr I read they pissed in Trump's bed 😀,0
118   ????????????????????????????????????????????????????????????????????????????????????   ???????????  ?????????????????????????????w  ??????????????????????????????????????????????????????????  ??????????????????????????????????????????????????  ???????????????????????????????????.......  pic.twitter.com/ZeQ2QHgY0U,0
It’s only 3 o’clock in the afternoon and it’s dark and raining  Like mad! I hate this so much!,0
I just want to watch One Punch Man and not get out of bed.,1
@ThePURCompany I have tried #PUR Mojito Lime mints They are #delicious 😘Happy #NationalMojitoDay to all #contest #win ✅💚,0
I’m now  I will be blacking out my pfp and deactivating. Expect to see me back in 2 minutes tho cuz I’m a clout chaser.,0
"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",0
@TommySandhu @bbcasiannetwork tommy you r phenomenal smashed #ajjdin on the mixes #hilarious and #awesome 😜😂😂👍🏻,0
@Monarch Really??? I've had to hang up! ,0
Can we stop complaining about  until we recognize that we have institutionalized self-sufficiency and pathologized human interaction?  pic.twitter.com/sCFjoC5yOw,0
Gm and have a  #Tuesday!,0
114  ??????????????????????????????????????????????????????????.......?????????????????????????   ?????????w??????????????????w??????????w   ??????????????????????????????????????????????????????????????????????2?????????????????????????   ?????????????????????????????????     ??????????????????????????????????????????????????????  pic.twitter.com/8JfdnOID7w,0
I'm shaking in my boots now. The Taffia are in full flow 😂😂,0
"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but☝ it's nice ur smile :) winner💕💕🌸🌸🌸",0
I can tell by the end of the night I'm gonna cut my arm  ,1
"Drunk and singing along to bmth, asking alexandria and of mice and men, rip my parents eardrums  ",0
Been spoilt even got a Kylie lip kit 😆,0
'A #pessimist sees the difficulty in every #opportunity; an #optimist sees the opportunity in every difficulty.' —Winston Churchill #quote,0
" mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",0
Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  ,0
"no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country's-",0
and now I got tickets to Hamlet #yay #happy #londontheatre,0
I want this to be a good day but this monster keeps pushing me down ,1
106   ??????????????????????????????????????????????????????????????????????????????????????????????????????????????    ????????????   ???????????????????????????????????????????????????   ??????????????   ??????????????????????????????????????????   ??????.......     ????????????????????,0
Watching other NFL teams today emphasizes how pitiful the Eagles are,0
I haven't snuggled my little Uigi in SIX days????????,0
wtf bro 0 stars in my first attack in war fuck this shit man,0
Forgot my cheese cake at work ,1
I can now see all of your tweets on one timeline. Makes life a lot easier. Just say hello and I will add you!  ,0
ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,1
"    ??, ??? ?????? ?????????????.  --- ???????????? ??????? ??????? ???????:) ????????? ????????? ??????? ???????????? ??????? ???????????? pic.twitter.com/GSIrFcABIp",0
i feel like i'm a prisoner of my own life.. like as if my life was a jail and i'm doing a lifetime sentence ,1
Bus model and industry make huge diff to value - Soft cos cost structure scales diff than Hard co. Need to know when raising #vc #start,0
when Martin stole Sonja's pizza on the MG show ep 4????????,0
 seriously increases the risk both of developing and also dying from heart disease,0
I'm so proud of myself for having a productive morning 😥,0
Why we loose hope in ourself When people demotivate us...,0
Whatever it takes to keep fucking  and bastard  at bay.  Wishing you a bloody happy New Year!  pic.twitter.com/3qWP4Lt25E,0
Accept that you are  and it’s not your fault. Telling yourself to ??Pull yourself together’ or ??Snap out of it’ won’t help.,0
brains have some of the most tiring dreams. Maybe because they're some of the most vivid?,0
What can you say about @rogerfederer #awestruck.....,0
It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,1
Being lost in my own mind   ,1
Is it even trail mix if pretzels are just left ???£???’ ,0
Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,1
@mrosenbaum711 Happy Birthday 🎈🎊🎁 Have an awesome filled day of awesomeness.,0
"If there's one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh.   ",1
It's funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1
Love that character     pic.twitter.com/uRCSKr2or8,0
i'd kill myself if it was that easy,1
Loneliness isn't about being alone it's not being anybody's priority  is a problem that faces us all reach out and make contact??‘‹??—£,0
@Mike_J_Lord You're welcome 😃,0
LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( ,0
â™?I Don't Love You Anymore - ANOHNI   ,0
My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,1
who needs an alarm clock when u have an excited puppy jumping on you every morning,0
"RT KatelynTiffner:  because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",0
being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘�??�½ story of my life ,1
" by : Bleak melodies & beats, beautiful voice and gloomy verses about today's world. Brilliant! One of the best in 2016.",0
I'm kinda glad that I know about 2 to 4 people in all my classes that I can talk to #relieved,0
@SpnTentation Thank you! My first solo run!  #excited #andnervous,0
happy birthday to anne ! we wish her all the best and hope she's having a wonderful day,0
I'm so upset 😭,1
Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has!  ,0
jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on … leaving me to fester under the poverty line for 10 years,1
Finally the fuck shit was sending fast ,0
Dropping son off this morning then shopping with my girls for shoes wedding fun this afternoon.  Your TL won't explode today.  😀,0
So happy I get paid tomorrow so I can sort my bloody hair out before holiday ,0
Can't believe I've had 9 days off already and that I'm back to work tomorrow! ,0
??’•it will be ok ??’•    pic.twitter.com/di7n1sDxAS,0
Happy #NationalFrenchFryDay ! Although I'm not so in the fried thing but I like have a frie once in a while! Have a #beautiful #thursday !❤,0
"41 year old woman wth chronic pain,  and  ""I've noticed that I'm not breaking down crying everyday, my mood seems to be more positive and the intense, intrusive thoughts aren't as strong. It's only been 6 micro doses but I feel like I'm seeing some improvement.""  pic.twitter.com/CFTdb6q2ka",1
"A year ago we was 38,000ft up in the air, en route to Australia via Dubai.....  pic.twitter.com/FAFcKWtNJ3",0
"@Karma_cutie aw, you make me smile, too.😉😘",0
" - worst day, 13 July, occasion-  final , min-  ..i couldn't eat my food for days..the sleep was gone.  ",0
Adam Sandler is actually super hilarious &amp; all his movies are funny &amp; heartwarming,0
Hello twitter! My next few tweets are going to be a bit gushy.... Look away if you're feeling bilious!!!,0
Nooooo  will crack the 10 point mark in the 4th quarter ,0
Living downtown for the first time while #tiff is happening. Schedule is out today! #excitement #thechildrenact #StanleyTucci #EmmaThompson,0
I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE   ,1
"If you are living with , , don't fall for the so-called ""cure"" peddlers here on Twitter. Seek professional medical help.",0
 -The moment you realize that they're still making country music.,0
People are truly #amazing. #inspiring day,0
: this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck,1
Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out.  pic.twitter.com/dBXeDgF3eR,0
"   I do not know anymore who I am in life because of my parents . I don’t know if I still own my life the fact I feel shallow. Why does life always seem to be unfair , to the point u feel nothing.",1
You know you chose a good husband when he prepares lunch for you early in the morning 💞 #tears,0
"When bad dreams come true, got me feeling like Crapulet ",1
"Suffering from serious depression ????  Sucks my plans, times everything ????   ",1
Snorkel time #fury key west,0
"Quite glad for a spot of rain, and happy it held off until ‘lunch’ so daughter no1 could enjoy circus antics at school this am.",0
Hey what s up family I'm having depression for dinner,0
Why can't I go Super Saiyan? ,0
Wishing you a blessed and happy morning. Glad to be here. Do you🤔 and brighten someone's day in your pursuit of happiness.,0
Laughter is an instant vacation\nTake a vacation now\n#vacation #laughter #happy #AlenaNaron #LifeCoach #Positvity,0
I'm so in love with that smile of yours🖤.,0
I'm not  or . I always grow my toenails out and don't shave. Duh.,0
the  people are the  ones..,0
In the gym trying to clear my mind. ,0
"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? ",1
So over new years think I'm just going to sleep into the new year.  ,0
What do we expect from a system where health care and education are among the most profitable commercial businesses?!,0
And literally 30 or more things that was the reason to live and how to not be  but wasn't really AT ALL. A++ for intent tho.,1
"Dont sink to the level of those who insult you. Rather, rise to the level of those who inspire you. Deliver result, not insult",0
A lot of people but they don't know me well.,1
@KerryKatona7 Stunner cute like her mum 😃,0
"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   ",1
IN The heart of every Human being there's is a sense of  which cannot be put out expect by being close to Allah,0
"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. ",1
I went to church with my mom and a huge chunk of the sermon was basically “if you’re  it’s because your faith is weak” and ... this is why I don’t go to church or tell my mom I’m on antidepressants ???????,1
You can't stay mad at someone who makes you smile.,0
Let me just sit here and wallow in self pity ,1
Timmy said I changed  I'm depressed eboy now,0
11:05 on a Saturday and im home alone watching Eragon.  ,0
Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.,0
"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it.  Top it off anxiety is at a high too.  ",1
It's my time to shine 😅,0
I’m watching my show and its still not keeping my  depression and anxiety at bay. This stress is crushing me :(,1
I guess it's because I'm not feeling well that I feel so low.  Throat is starting to flare and I can't cope with it right now.,1
yeah I watch depressing films like cyberbully because I'm sad and I can connect with it  ,1
Tripped hard today! This is promising!   ,1
Dear Life: Please be gently to me.,1
How would you feel if your parents were to argue each and every single day?  ,1
So just been looking at profiles of my other half's family accounts on Twitter and i'm extremely depressed that my life is full of ChronicPain. I'm not living a normal fulfilled life like they are. Why is it taking over my existence..?,1
Top Musique 2016 :  N2 :    pic.twitter.com/wRsdJ4Av6z,0
#funny #quote #joke Hilarious joke quote of the day! For more funny jokes pics and great humor quote,0
"People: ""Just exercise, you'll feel better."" Full depressed me: ""k"" *bikes 20 miles* *showers* *curls into a ball and weeps* ",1
Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges,0
Being able to sleep in just boxers is probably one of the best pros that comes with being a guy #breezy,0
I hella should've stayed natural in college,0
"Live a normal life and have friends and go out and have fun, believe me. But my    etc all stop that. Not by choice???¢",1
See a TrueTwit\nwho's smiling so brightly.\nWell we reckon we're cool\nand we reckon rightly!!,0
Disturbing to see that  is trending. Heaven send the personal sponsors & BFFs to save the dreary day.,0
I am finally feeling better. It's good to support each other when going thru things like . We all  each other out. ,0
I've never dream to love him,0
"They say life's short, but I'm bored already.   ",1
900 mAh Laconic Style Vape Kit  pic.twitter.com/WDCJREnfhw,0
Only the insecure withhold praise of another's achievements     ,1
Pray for all communities and individuals facing mental health crises.  ,0
"Christmas, the most wonderful time of the year can also be the most horrific time of the year.   ",0
"I was deeply struck with her very presence,expressions &amp; soul-penetrating performance.I was lost in her #bliss #NinnuKori  @i_nivethathomas",0
@CaxtonSupport I'm sorry but I don't know what DM stands for. I know a PM 😂. But sadly not a DM. It won't create an account to find.,0
Last time hanging with silken and dorian before they move to Florida,0
#alarm Bel OC Limburg 157901 - Unknown address,0
Seriously!? Abigail finds Chad in bed with Belle.. Well Chabby just sunk & I don't think they'll come back from that..,0
I don’t hate white people. White people hate me. I don’t hate white women. White women have rejected me constantly. I am white myself but we really do suck,0
My grace is sufficient for you...#motivation #bible #optimism,0
hate seeing a shit photo of yourself and you think 'is that what i really look like'???«  ,1
i am so sorry this happiness came about rather unexpectedly ill try to keep my 11:11 tweets more  from now on,0
kokobop is such a weird name\nbut I remember that it is said to be more lit that growl and it is #EXO so I'm accepting the name,0
Super depressed for no reason! Yaayyy. Screw my life lol   ,1
"they don't see me when I'm crying running a blade down my ankle, maybe then they'd think twice before they said what they said ",1
I've literally been in the bed all day. ,1
"Felt good that I was at least able to get my laundry started, but haven't done anything past that. Though I've at least fed myself today. :/  ",1
That feeling when everyone is just giving up on you but you're still fighting for them...argh  ,1
"Guys, I have nothing to live for. I am tired of living here. Even my friends couldn't cheer me up.   ",1
" because I had a dream @ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in Ohio & it's December???­",0
"The worst thing about  is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time.  I wish I could just be happy....  pic.twitter.com/zRf2H1L13H",1
I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im  now  Gonna   /s,0
