Text,Label,text_cleaned
The amount ae fucking spots I have right now honestly makes me wanty cry  ???­???­,1,ae fucking spot right honestly make wanty
"Im getting drunk on mont blanc ,watching big bang theory and eating cake.  ",0,im getting drunk mont blanc watching big bang theory eating cake
"All I want to do is sleep. My dreams are bizarre, but still an escape from my problems. Is this #anxiety, #depression, or both? #tiredoflife",1,want sleep dream bizarre escape problem anxiety depression both tiredoflife
Honestly can’t trust anyone at this point. ????,1,honestly trust point
Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has!  ,0,just day younger shane meadow thank god achieved ha
Laughter is vital medicine if you suffer  or . Have a giggle on me :)  ,1,laughter vital medicine suffer giggle
Getting ready for night shift tnite!!,1,getting ready night shift tnite
Depression bit me so hard it took me months to get back on social media,1,depression bit hard took month social medium
An hour and 35 minutes till 2017 come. I'm still depressed and hopeless. Feel really shitty.  ,1,hour minute till come depressed hopeless feel really shitty
Fuck fuck fuck fuck    pic.twitter.com/1euSw97Anz,1,fuck fuck fuck fuck
I'm sad/depressed again & it's my fault for not changing it.,1,saddepressed fault not changing it
"@NoahWebHouse A review of my book faulted me for spending so much time on Webster's introductory front matter. But I had to, #brilliant!",0,review book faulted spending time webster introductory matter to brilliant
Any suggestions for helping recurring ?  pic.twitter.com/wmHXU2rJCs,1,suggestion helping recurring
A little of # yoga for a #happy day!! #Noeishappy #yogagirl #yogaeverydamnday #namaste #grateful #blessed 🙋😊🙏,0,little yoga happy day noeishappy yogagirl yogaeverydamnday namaste grateful blessed
Truth is.... I loved you so much. And you broke my heart.,1,truth is loved much broke heart
Never thrive on the hopelessness of another regardless how adverse the relationship may be. Hopelessness is hell’s nuclear bomb.,0,thrive hopelessness regardless adverse relationship be hopelessness hell nuclear bomb
"Bertolacci will join Genoa on a dry loan with no option to buy, done deal- Sky....At last he's gone #rejoice",0,bertolacci join genoa dry loan option buy deal skyat gone rejoice
My kids really spending Christmas without me lmao I'm liable to hop on a flight ,1,kid really spending christmas lmao liable hop flight
"Wish I was one of those girls that has a dad that would do anything for them, not a jerk of a sperm donor ",1,wish girl dad them not jerk sperm donor
In the gym trying to clear my mind. ,0,gym trying clear mind
"When I watch sport at times Andy Murray/rugby, it would be best for me to go into a sound proof box. #animated 😂 😂",0,watch sport time andy murrayrugby best sound proof box animated
Choose someone who makes you laugh #😂,0,choose make laugh
Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges,0,shift start tutorship response enjoyingthelastfewdays excited nervous newchallanges
No more Twitter for tonight... Today is officially my birthday.. and I wish I was dead... ????????    pic.twitter.com/t1TP7HcFJr,1,twitter tonight today officially birthday wish dead
"So after a 10 month hiatus, I watch a movie in a multiplex and it's Ugly! Maybe I was better off not watching any. ",0,month hiatus watch movie multiplex ugly maybe better not watching any
Days are really hard. Some of them are excruciating. Sometimes I can’t see the end.,1,day really hard excruciating end
Never underestimate yourself ; you might be the little voice of reason.... #do #good #believe #rise #communicate #respect #love #everyone 😘,0,underestimate little voice reason good believe rise communicate respect love
i didnt get the ariana calendar.,0,didnt ariana calendar
Nobody chooses to be . But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose  thoughts instead. pic.twitter.com/qQNAgbgC1I,0,chooses power choose deal it let black dog hound u choose fight inner btch keep prisoner start choosing ignore voice choose thought instead
I guess it's because I'm not feeling well that I feel so low.  Throat is starting to flare and I can't cope with it right now.,1,guess not feeling feel low throat starting flare cope right now
Sucks when your alone in a big world :( ,1,suck big world
fuck that guy who made me feel like shit again.  ????,1,fuck guy feel like shit again
So happy that I discovered coding...knowing what you want to do in life at the age of 23 is an amazing feeling.  #webdevelopment,0,happy discovered codingknowing want life age amazing feeling webdevelopment
"#Laughter creates a #positive #aura &amp; transforms you into the most #beautiful , #dynamic &amp; #attractive person. \n#Yoga #YogaLaugh",0,laughter creates positive aura amp transforms beautiful dynamic amp attractive person n yoga yogalaugh
"If Russia, Saudia or Iran wants to use an extra man to die for them in any battlefield anywhere in the world would happily join, ",1,russia saudia iran want use extra man die battlefield world happily join
   just cried floods of tears whilst watching 'gogglebox',0,just cried flood tear whilst watching gogglebox
Damn I'm the only one who didn't get JB tickets??,0,damn did not jb ticket
I am so sad I have to work on Christmas. My favorite time of year & I'm gonna be working &/or alone in my apartment ??????????,1,sad work christmas favorite time year gonna working or apartment
@atrsya_ You truly decide your own happiness 😊,0,truly decide happiness
"Emotional day, well time of the year for me ",1,emotional day time year
"What's worse,  I don't want her knowing my whereabouts.   I'm tired of the , the  & not being able to live life.",1,worse not want knowing whereabouts tired not able live life
First yr not being around my dad on da holidays n it's breaking my heart  I wish he just call me that's all i want 4 Christmas,1,yr not dad da holiday n breaking heart wish just want christmas
Just did Yasso 800s for the first time. Kinda fun (maybe because I only did 4).  😀 Thanks @BartYasso!,0,just did yasso s time kinda fun maybe did thanks
why would someone write a movie like The Fault in Our Stars? :'( ,0,write movie like fault star
  I am legitimately afraid of using social media. Too neurotic.,0,legitimately afraid using social medium neurotic
"Being back in my hometown, such little time I get for myself to be  as I truely am. Feel so choked by pretending I'm okay.",1,hometown little time truely am feel choked pretending okay
when Martin stole Sonja's pizza on the MG show ep 4????????,0,martin stole sonja pizza mg ep
Really thinking about killing myself now   ,1,really thinking killing
Crying with a loud music so no one could hear me,1,cry loud music hear
"I can't get through this without pain and suffering. And I'll just keep on talking, trying to make my way through every day. I love you Debbie. ",1,pain suffering just talking trying make way day love debbie
Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1,going say goodbye beloved pup upcoming week
I'm not sad. I'm sick.,1,not sad sick
Still can't fit any of my jeans. ,0,fit jean
No idea what to say to myself ,1,idea say
@bugusdiemon Happy birthday cuzzo many blessing🙌🏾💪🏾🇳🇬💯#KeepGrinding #blessed,0,happy birthday cuzzo blessing keepgrinding blessed
"There's no better way to relax than putting on a face mask, having a bath while drinking tea and listening to John Mayer #bliss",0,better way relax putting face mask having bath drinking tea listening john mayer bliss
I just wanna stay up all night play FFXV and not go to work tomorrow.. ,0,just wanna stay night play ffxv not work tomorrow
#My #Mind is free of all aspects of #fear and #pain &amp; talk with me to produce #positive thought.\n#affirmation #thought #focus\nPlease retweet,0,mind free aspect fear pain amp talk produce positive thoughtn affirmation thought focusnplease retweet
900 mAh Laconic Style Vape Kit  pic.twitter.com/WDCJREnfhw,0,mah laconic style vape kit
Ten: Amazing the snap power @AdrianMannarino gets off such a short back-swing! #threat @Wimbledon Rd of 16 #ATP 🎾🎾,0,ten amazing snap power get short backswing threat rd atp
"Oklahoma, South Carolina, Idaho, and Louisiana I'll see you this fall 😍 #excitement",0,oklahoma south carolina idaho louisiana fall excitement
Super depressed for no reason! Yaayyy. Screw my life lol   ,1,super depressed reason yaayy screw life lol
"The worst kind of grief, screaming crying, is when it's for no reason other than voices in your head and chemicals in your brain ",1,worst kind grief screaming cry reason voice head chemical brain
Absolutely love @unqualified but can't listen to it during my commute on the subway because I burst out laughing and people stare!,0,absolutely love listen commute subway burst laughing people stare
????When your days are grey and he gets the best of you.....even when you don't want to. ????,1,when day grey get best youeven not want to
"Making me so happy that I forget to be  ,   and   . Thank you, baby ????",1,making happy forget thank you baby
Have u ever felt so  u feel like u have to throw up 24/7 ????,1,u felt u feel like u throw
Soooooo excited for lost village ✨😎🌈🎪🎷🏕,0,soo excited lost village
Love implies anger. The man who is angered by nothing cares about nothing. ~Edward Abbey #love,0,love implies anger man angered care nothing edward abbey love
"Feeling really down today, guys ?? not posting much but my dms are open if anyone wants to chat.  ",1,feeling really today guy not posting dm open want chat
being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘�??�½ story of my life ,1,sweet nice guy realizing really deserved story life
I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im  now  Gonna   /s,0,stuck long not gained follow today im gonna s
"Hewwo, I'm kinda feeling down. I don't think I'm ever going to be noticed as an artist. I promote and such but I'm not sure what would draw attention to others besides requests. Which is fine but I'm not really making a name for myself. And I hate it.     pic.twitter.com/8yZKCDI8xh",1,hewwo kinda feeling down not think going noticed artist promote not sure draw attention request fine not really making myself hate it
Only thing I've done today is brushed my teeth & took a bath ...  ,1,thing today brushed teeth took bath
"There are parts of you that wants the sadness. Find them out, ask them why",0,part want sadness out ask
I get to spend New Year's home again alone and lonely. ???• ,1,spend new year home lonely
Sometimes  starts from being  or . For support and advice call 0808 808 2234. rb  pic.twitter.com/ie8cGAUNMv,0,start support advice rb
I couldn’t be with people and I didn’t want to be alone.,1,not people did not want alone
#funny #quote #joke Hilarious joke quote of the day! For more funny jokes pics and great humor quote,0,funny quote joke hilarious joke quote day funny joke pic great humor quote
"lonely is not being alone, it's the feeling that no one cares. #alone #depressed #anxiety",1,lonely not alone feeling care depressed anxiety
Can’t eat. Can’t sleep. Everything is just falling to pieces ?? I’m so tired of watching my world crumble,1,ca not eat ca not sleep just falling piece tired watching world crumble
It's not always the tears that measure the pain. Sometimes it's the smile we fake.,0,not tear measure pain smile fake
"@ghibIiyoongi happy birthday love!! 🎉🎁 i hope you're having the best day, i'm glad we met💕",0,happy birthday love hope having best day glad met
No I'm not  for my life.,1,not life
120   ???????????????????  ??????????????????????????????????????ww  ????????????????????????????????????????????????????????????????????????????????    ?????????.......  ?????????LINE????????????LINE????????????   ??????????????????????????????????????????????????????????   ??????????  ?????.......????  pic.twitter.com/rLDG4ogYnz,0,ww lineline
Going to #BigApple tomorrow! Loving #NJTransit #commute! Wearing #khakis #whiteshirt #maybeblue #brownshoes #macys #joy #jealousyet?\n#usa,0,going bigapple tomorrow loving njtransit commute wearing khaki whiteshirt maybeblue brownshoes macys joy jealousyetn usa
Lately - nothing has been going right . ,1,lately going right
Curry really can't play tonight  but the rest of the Warriors got it ??????????????????????????????????,0,curry really play tonight rest warrior got
@Jamiebower first second on #WillTNT is music to my ears 😭❤️ #shaking #missedyou,0,second willtnt music ear shaking missedyou
Why don't people listen?,1,not people listen
@executivegoth I tried a free Alpha trial to watch #dread and I'm sold. Worth the subscription alone. You all are incredible!,0,tried free alpha trial watch dread sold worth subscription alone incredible
Think ill have a nap - need it after that game,0,think ill nap need game
"I feel like a mess. God, help me fix myself.                                                                   ",1,feel like mess god help fix myself
A joyless faith is not one for which Jesus died. #thegospel #joy #Jesus #happiness,0,joyless faith not jesus died thegospel joy jesus happiness
"New, and a bit alarming . . .",0,new bit alarming
Am I drinking  and being  before going into work? You’re damn right I am????,1,drinking going work damn right am
I've just ate 5 bags of sweets. WHAT IS LIFE,1,just ate bag sweet life
Streetlights coming on. We can see stars! #amazing #SolarEclipse2017,0,streetlight coming on star amazing solareclipse
@huedrinkwater happy birthday cuzy xxx,0,happy birthday cuzy xx
"All up in my  feels, today... fuckkkk  pic.twitter.com/gNza4Pzn0p",1,feel today fuckk
"Hell's teeth, this day just gets better. No Her earlier; dragged into the office; assumed she was already there. She's not. ",0,hell teeth day just get better earlier dragged office assumed there not
The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,1,incredible dr david feifel i not alive not man amazing person
When i just keep hating my life due the others that put an extreme pressure on me...    ,1,just hating life extreme pressure me
"May you find your #center the peace of your #soul, joy in your #heart #understanding in your #mind. This is my #blessing &amp; #prayer for you.🌞",0,center peace soul joy heart understanding mind blessing amp prayer you
@LoganPaul hii logan! 😍 new maverick here!!! :D recently I've been watching your vlogs and I'm soo into it. :),0,hii logan new maverick here recently watching vlogs soo it
I'm so  that I dropped my phone in the toilet.... I'm no longer  for now....  ugggh,0,dropped phone toilet longer now uggh
About the friendship of to giants bound by the black dog    pic.twitter.com/CV6CRYPrKm,0,friendship giant bound black dog
Doing absolutely fuck all tonight :(  ,1,doing absolutely fuck tonight
I just want my space and my life ????   ,1,just want space life
I really feel lk crying right now   ,1,really feel lk cry right
"Despite the weather we are having, we shall be at the stall with hot food and drinks on Saturday. Come and say hello to the team   ",0,despite weather having shall stall hot food drink saturday come say hello team
Just realized that when I wake tomorrow  episode 3 will not be under my dying xmas tree.,0,just realized wake tomorrow episode not dying xmas tree
My God we live in a sick world!   ,1,god live sick world
With nasal spray of  ketamine being introduced by end year it’s administration will be safer. However it is pricey so IM/IV ketamine will remain for treatment resistant .,0,nasal spray ketamine introduced end year administration safer pricey imiv ketamine remain treatment resistant
It was a great feeling being able to cheer you on while you passed me at your second bike loop this weekend. Great race @SebastianKienle !,0,great feeling able cheer passed second bike loop weekend great race
"  About to have a breakdown, I really need a friend",1,breakdown really need friend
I haven't talked about hoarding and depression in a while. I'm on a quarter dose of meds now. And I'm still a bit stuck with hoarding. Decided to try to do some removal for efficiency today. I found a dotmatrix printed transcript of  from . Fullpost Twittr.,1,not talked hoarding depression while quarter dose med now bit stuck hoarding decided try removal efficiency today dotmatrix printed transcript fullpost twittr
Goodnight everyone hope you had a good day!   and everything between,1,goodnight hope good day
