Text,Label,annotator_1,annotator_2
"Exercising regularly cuts risk of depression by 16%, study suggestsIt's the best medicine.  Hands down   http://news.sky.com/story/exercising-regularly-cuts-risk-of-depression-by-16-study-suggests-11346264Â â¦ pic.twitter.com/0bqk7K3Z5Y",1,0,0
I ain't driving u no more miss daisy! ,0,0,0
 and hug@ladypn: &quot;Is there a waiting line to get into Club Blip? ;) &quot; ? http://blip.fm/~7d2a5,0,0,0
@poutkyuns I have depression too and I start counseling next month.All I want is to be happy again,1,1,1
I feel bleurgh lol  there are so many reasons why the exam tomorrow will be amazing not ,0,0,0
@hgainj You don't have to know them to try to help:) what's your opinion on a support page for depression/anxiety support?,1,0,0
"@ilynjhx go to the merch : runto the barrier : runto Niall's livestream : run in the house to find wifito the queue : run go to school : sorry I m still in my bed , I ve been to Niall's concert and post concert depression is there",1,0,0
"No tropical depression gonna steal my sun away.Mm, I feel lucky today.<Emoji: Multiple musical notes>",1,0,0
"$25 mani-pedi @ denovo - only for today, offer good for one year.  enjoy, ladies! http://tinyurl.com/kjdhgn",0,0,0
Anxiety sucks. Depression sucks.,1,0,0
"@Jean_Pierce OOC:  LOL  I know, I know.  I was robbed.  I want my own ship.  ",0,0,0
Going to the cinema with Karlijn &amp; Stephanie; 17 again ,0,0,0
"@maddiewelborn Do you feel any, like, postpartum depression?",1,0,0
Black patents don't believe in depression fam  https://twitter.com/VinDollar016/status/988836602054103040Â â¦,1,0,0
@JulieGong its called pacing Jules...pacing ,0,0,0
"good night all...... this wookie is retiring for the evening...... yyaaaawwwwnnnn, sstttrreeeeetttccchhhhh........ ",0,0,0
"Well... another dayoff, another stream.no warframe today. Frostpunk, chill music and relaxed depression.Stream starts at 16:00 (+4 UTC)see ya at  http://twitch.tv/lokisnailÂ #SupportSmallerStreamers#nightstreams@TwitchBoost@TwitchGrower@TwitchRTsBot@TwitchNetworkin",1,0,0
Sitting down having a glass of Strega on the balcony with friends. Not bad ,0,0,0
"Chronic depression is a mother fucker. I don't know when I am awake, drunk, asleep, crying. Knowing I have no one to talk to.",1,1,1
May I remind you pips. Depression is not a joke. And it will never be a joke.,1,0,0
"In Heb. 12:15, the Bible warns us to beware,"" """"...lest any root of bitterness springing up trouble you"","" and thereby many be defiled;"""" #Bitterness can lead to depression"", sexual sin, and others' corruption. But the #Bible gives us the cure for bitterness:  https://bit.ly/2HtEzlBÂ  pic.twitter.com/iGTdUaOJPM",1,0,0
@MrsJellySantos They trip me out. Especially the ones that recovered from situational depression and speak out on mental illness as if there aren't many more severe illnesses,1,0,0
@forensicmama I know right.  I don't remember what life was like before @HartHanson got a twitter.. LOL,0,0,0
it is official... my favorite psp game is Naruto Ultimate Ninja 2.  yeah! this game takes me personally to Konoha. ),0,0,0
Trying to make friends on twitter. ,0,0,0
"I Feel Like I've Been Distance From People Lately, I Have So Much Depression, I'm Always Tired, I Just With Sweatpants Most Of The Time, Stay Home All Day, Never Go Out, Unless School, I'm Bored, I Just Feel Like I...  https://www.facebook.com/angie9635/posts/1987482664609049Â â¦",1,1,1
@Ancheeca Read and replied....love it!! ,0,0,0
is on a secret mission......  sshh  don't tell the kids    ,0,0,0
"Depression, the best advice offered was 'Keep taken the tablets' And another illness I got to go with the rest is, I have Sleep Apnea. Which If you don't know is where you basically die a few times during the night but don't worry it's very common.All that happens is your",1,1,1
"@mileycyrus you have changed my life, thankyou i love you so much, God Bless, your my hero ",0,0,0
"So u spend ur whole life thinking & dealing with things the way u deem right then at 33 realise no,that's not how things r done.That's not how you should be living your life. t's so hard to try and snap out of that mindframe. #depression #anxiety #coping #mentalhealthmatters",1,1,1
thinks that Kellan Lutz is hot when he smokes ,0,0,0
"@bztak1020 thanks  no, I'm not. I just sing a song and play my guitar  my friend helped me   it was live recording, though :/",0,0,0
@Nice_Igloo Real depression hours :(,1,0,0
"@suggadelic @ChaoslilKat I really don't understand why so many respond to people being depressed by demanding they justify their own depression. Or worse, proclaiming they somehow aren't entitled to feel sorrow because they aren't designated as disenfranchised. A lack of understanding psychology.",1,0,0
"@Lucy_Nichol78 @RealMissAnxiety I can see it both ways. When my depression hits, my low self-esteem gets even lower. But when I feel down about myself, my depression seems to enjoy joining in to make me feel even worse. I think they go hand-in-hand and one make the other worse x",1,1,1
long naps make me happy ,0,0,0
@KeithLFC thats nice lol ,0,0,0
Im gonna from this depression #infinitywar,1,0,0
"listening to Indiana then The Party Song then Sticks, Stones, and Techo. prefect music selection!  ",0,0,0
Good morning world ,0,0,0
"@StephenAmell But also, she has problems with depression and anxiety very serious and all this things made she's gone losing her temper and she's had a long time without training, I know that she really loves training Taekwondo so much and does very well for her mental health.",1,1,1
"I worked for a producer, in Los Angeles who no matter where he was, would stop to go to the gym to swim.#HoldOnToYourVoice #HOMAGI #Caregiver #MentalHealth #Caregiving #Depression #MentalIllness #Caregivers #April #Wednesday #HumpDay #WellCaregiverWednesday #HOMAG",1,0,0
@PomegranPenguin Excellent!  Most balloon animals are evil anyway... ,0,0,0
goodmorning to everyone except the depression that killed robin williams..,1,0,0
"Sammy, If your reading this. You are amazing. Your my Sunshine. I love you. Thanks for everything. And I bet you feel the Love now  HAHA.",0,0,0
@WilliamPromoter did you like terminator? ,0,0,0
Kids craft classes went dandy thats 6 week session up next session starts in 2 3 weeks so I have some time to plan them ,0,0,0
@StealthNickChic Yea he sent one pic... So cute! Congrats to him! ,0,0,0
@blowdart he said artistic persuasion not autistic persuasion. ,0,0,0
@vr000m: convocation is once a year. Most MTechs finish their thesis a little after the  convocation. ,0,0,0
Going for a cycle a day helps keep depression at bay #mentalhealth #activelincs #bikeability https://twitter.com/WeAreCyclingUK/status/989051846772822017Â â¦,1,0,0
@jcgpulido: Thanks for the well wishes. And you WILL like a big ass guy to help you in therapy and you will LOVE it. hahahaaa ,0,0,0
HEY EVERY BODY!!!! LOOK I'M NOLONGER A BROWN BOX... I'M SO GLAD ,0,0,0
2 shots of goose ! Good to go  For NOw,0,0,0
haha @Diordan I meant i'm going to bed for the night...def not going out. But thanks anyway  @all I have 1000... ? http://blip.fm/~78k0e,0,0,0
@TraceyMmm Uh oh - whooops LOL One down already here ,0,0,0
@guineapig66 I can relate to the inertia caused by depression.  I think I've lost 3+ months this year due to meds which made me so groggy/sleepy all the time that I couldn't write at all - or read Add pain to that & you get a rabid zombie lol! I managed to edit quite a bit this weekend tho.,1,1,1
"depression nap, brb",1,0,0
Was out yesterday and had his first driving lesson on bike ,0,0,0
Is sleep deprivation affecting your health?  http://restyledliving.com/not-getting-enough-sleep-it-could-be-affecting-your-health/Â â¦ #sleep #sleepdeprivation #health #WednesdayWisdom #insomnia #aging #depression #heartdisease pic.twitter.com/F6Q3D1MQ5l,1,0,0
"@CHSommers @baileyc333 I'm not saying you lie, but I'd really like to see evidence for that statement. Eating disorder is the deadliest mental illness? Not suicidal depression or alcohol-/drug addiction?",1,0,0
"These are just SOME of the benefits of NEURO AEROBICS!Strengthen Immune SystemReverse, heal and prevent depression, anxiety, panic disorders, OCD,etcPrevent or dramatically slow down the progression of Dementia, Alzheimers, and other neurological disorders.Expand business  pic.twitter.com/oW3x5nDmaF",1,0,0
"Sope AUMin Yoongi is a blind man who once had a passion for music. After his accident, he dropped out university and entered a critical state of depression. He didn't expect for someone, by the name of Jung Hoseok, capable of bringing colour back into his world.  pic.twitter.com/dbEShh6CiA",1,0,0
@mattmcfadden Sorry for your loss. Depression is brutal.,1,0,0
our first follower! Thanks @Breefield ,0,0,0
Playing the wii and guitar lol and wrks in few hrs ,0,0,0
Back to work for me... Twitt ya'll laterz ,0,0,0
I hate sleeping in. Thank god we're leaving soon. Seattle here we come ,0,0,0
"@pjakobs as in, someone would figure out how to access the mp3s without actually paying for them. ",0,0,0
@nakrissimo Can I come?  I could use a nice decadent party. ,0,0,0
"@weisenly Hi Brian, you are welcome. Yes, I am still learning to communicate...lifelong learning ",0,0,0
and more of 30 rock too!  ,0,0,0
"Ok guys - we've officially launched new languages #Swedish and #Russian - really fun, if you ask me!  www.surveypirate.com",0,0,0
Bottles of Jones soda and long car rides. ,0,0,0
@aslaen oops  try again,0,0,0
@_TASOfficial_ I really miss XYZ since 2016 i have Post anime depression and its the most longest pads i ever have. :<,1,0,0
"@satiricole @Signorella @herbert_farrah 2. ... but to confound gender dysphoria with the insecurities/distress women face today, suggest that the medical definition and symptoms are unknown to her.It is like saying how being sad is the same as years of clinical depression and how ''everybody'' experiences it.",1,1,1
Good Morning sunshine... ,0,0,0
What do you do when depression succumbs the brain and makes you feel like you'll never be enough?,1,0,0
i swept my room for the first time since like...... november? anyway i love depression,1,0,0
We <Emoji: Heavy red heart>Boris #gentlegiant #hopecharityproject <Emoji: Raised hand with fingers splayed (medium light skin tone)><Emoji: Heavy red heart><Emoji: Rainbow><Emoji: Dragon>#holdonpainends #depression #anxietyâ¦  https://www.instagram.com/p/BiAJjsYHWB0/Â ,1,0,0
"the end of 2014 - 2016 , was my worst yrs <Emoji: Face with tears of joy> i was really in a depression",1,1,1
Depression is not necessarily pathological. It often foreshadows a renewal of the personality or a burst of creative activity. There are moments in human life when a new page is turned. #CarlJung,1,0,0
"Worldwide, 1 billion suffer from anxiety, 300 million are affected by depression, 60 million suffer from bipolar affective disorder, about 21 million are affected by severe psychoses, 50 million have dementia (to grow to 152 million in 2050)  http://bit.ly/2DRXBQVÂ #SharedFacts",1,0,0
"@jnnybllstrs Dnt joke about these things, anak. Death & depression destroy lives, we shldnt wish for or joke about them. Let's hope fake news ito.",1,0,0
@ScarletSass Yay! Making good progress ,0,0,0
@ellamorton cool! wish you luck. and hope the rain doesn't dampen your mood. ,0,0,0
ill Kidz win Toronto DJs of the Year!!! Yayyyyyyy Ricky!!!!!!!! Congrats ,0,0,0
@cloverdash Thank you  Reeeally needed that today-you're going to make me all weepy now! ILY too  xx,0,0,0
"It eats me up knowing I literally Lost a piece of myself to someone like you. The emotions, the vulnerableness, the uncertainty, it never left me. You never cared to help me out of the depression, you caused.",1,1,1
"@Schofe Hey, a new follower here from Greece. I love watching you in the mornings ",0,0,0
"@BradleyWill haha, thanks ;)  Hmmm about me... I was a competitive Figure Skater (From Alabama) for 10 years ",0,0,0
@bilalhouri LOOOL @Eresse just recommended the same ,0,0,0
The ever so patient Michael is back today  Business as usual for those of you who need to call Customer Service today &lt;3,0,0,0
Depression will never go away until I have what I want,1,1,1
More than 1 in 20 US children and teens have anxiety or depression  https://www.sciencedaily.com/releases/2018/04/180424184119.htmÂ â¦,1,0,0
Could 'one puff' of cannabis easeÂ depression?  http://appledank.com/could-one-puff-of-cannabis-ease-depression/Â â¦,1,0,0
"What will happen if I fall into depression, the fear of fear, the anxiety of anxiety - drop this idea and your death and your void consuming your life will disappear. Like water being absorbed into wood can break the largest stone into pieces, this idea can break your mind <Emoji: Brain>.",1,1,1
@ethomasson is a senior correspondent @Reuters and a member of their peer support network #mentalhealth #journalism #trauma #depression  https://twitter.com/ethomasson/status/988753725492690946Â â¦,1,0,0
@blwhan cool.. just lemme know when.. oh ... pls sms instead la.. i will arrange all this .. ,0,0,0
@chronic_hopeful Spent the last two days at 2% and couldn't sleep. I think I would have lost my mind without the internet. The boredom/frustration/depression of stsring at the ceiling thinking of all the things I should be doing...,1,1,1
"My hobbies include subtweeting, depression naps, regular naps and anxiety attacks",1,1,1
i will be the sun in your sky. i will light your way for all time. promise you. for you i willll.. ,0,0,0
When depression hits so does anxiety.,1,0,0
@adsxoxo I just saw the trailer for The Road on ET. I WANT TO WATCH ,0,0,0
Hamthrax? Glad I'm a kitty   Swines are fines by me!,0,0,0
"Molestation, Attempted suicide twice , YALL DEPRESSION <Emoji: Loudly crying face>. Do not live your life according to someone else's plan, Don't seek validation from people who mean you no good or don't even truly care about you. Understand that your hardships can not BREAK KILL OR STEAL",1,1,1
What a strange existence you've created where you've suffered depression and also antagonize people who still feel it. Literally zero empathy here.  https://twitter.com/ayanatheoracle/status/988861135142248449Â â¦,1,1,1
"Charlize Theron Talks Battle With Depression, Admits She Ate Potato Chips Everywhere To Gain Almost 50 Pounds  http://a.msn.com/07/en-ca/AAwjt3y?ocid=stÂ â¦",1,0,0
"When YOUR BODY gets the RIGHT FUEL, watch what it does.Do you know anyone that has any these situations: high blood pressure, diabetes, arthritis and depression, MS,cancer, stiff joints or  sluggish over all apathy. WATCH THIS  pic.twitter.com/3pnRuel0vs",1,0,0
@MikkaDinah Yeah Yeah! Whatever you say?!!! ,0,0,0
Its official....I'm a Food Network Junkie !! ,0,0,0
He did care about her depression and ptsd but he was a teenager not a trained psychologist. He was doing his best with what ina... â I know. He's a Gemini and we don't know how tf to comfort people. That's why they weren't right f...  https://curiouscat.me/swiftlyheatonx/post/429965499?1524681522Â â¦,1,1,1
@ASinisterDuck i will join dunno if you added me ,0,0,0
@SEGA Start with the Virtua Tennis 2009 - training top ,0,0,0
Ding Alil Ryming Thinking Nd Writing  Music s the best ting ever ,0,0,0
When you're finally feeling good and your depression reminds you who you are  https://twitter.com/necation/status/988621273067638784Â â¦,1,0,0
"Everyone, here's Maria's LJ!     http://bit.ly/TeVeR",0,0,0
Goodnight Stars.... ,0,0,0
Vapor funk cured my depression,1,0,0
Hay fever increases the risk of depression  https://inews.co.uk/?p=147048Â ,1,0,0
Longg ass night!! gonna stay home and watch movies 2nite!! ,0,0,0
"has found and bought an awesome book today, entitled: &quot;20 Essays Written by 20 Somethings.&quot; ",0,0,0
I need a peace ,0,0,0
"@AlyssaMD never too late to try again. my mom bought me a guitar, so i had to learn to play it back then. talk abt forcing u  off to bed!",0,0,0
