Text,Label,annotator_1,annotator_2
Last time hanging with silken and dorian before they move to Florida,0,0,0
In times like this is when I wonder how it will be like to just be by myself????,1,1,1
Is it true that what ever doesn't killl you makes you stronger?   I'm not so sure.    pic.twitter.com/RzFBCeaGn2,0,0,0
"And if the Black Dog comes for me again this new year, perhaps this time I will have a brighter lantern to face the night. ",1,1,0
"I hate it when someone says, ""Why are you ? You have nothing to be depressed about?"" It's chemical! I  can't help it!! ",1,1,1
My Worse Fear About This Whole Thing Has Cane True.???” ,1,0,1
Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying,0,0,0
Sleeping with my dog for the last time b4 the trip ,0,0,0
Been left and grandma's house want to see mummy and daddy   ,1,0,1
"PLANNING FOR THE NEW WEEK  ""Failing to plan is planning to fail"".  In the last few months, I've allowed my depression to control my ability to function.  After 3 months of meds, I'm finally productive.  What your plans for the new week?    pic.twitter.com/3RDI20arti",1,1,1
I spent hundreds of dollars on makeup online to cover my ugly face ;-;   ,1,1,1
Don't let a #Season of #Sorrow turn into a lifetime of #bitterness ~ #FearfullyMade #GracefullySaved,0,0,0
I am so damned sick of the near-zero degree temperatures we've had since Xmas eve. I just want to be warm again...,1,1,1
Don't you want to be my girl ?   ,0,0,0
"I would do one of the friends of 2016 lists, only problem is I need friends to make that  ",1,1,1
Sometimes the most difficult thing for a person is facing themselves.,1,1,1
I'm gonna see you one last time,1,1,0
I just want soccer season baaaack???­???­???­ ,0,0,1
I want this to be a good day but this monster keeps pushing me down ,1,1,1
My head is been hurting so much and I lost my appetite,1,1,1
Out drinking by myself self got that  feel today bois,1,1,1
haven't been on Twitter all day. ,1,0,0
I'm not sad. I'm sick.,1,1,1
Today I ate 1 month old rancid meat because I forgot what month it was.   .,1,0,1
I can't get myself out of this rut. I want to die. But I care too much about everyone else. So I will continue to be miserable. ,1,1,1
Phone ring at anytime now . ??¤¦??�½â€�â™€ï¸� ,1,0,0
Depression bit me so hard it took me months to get back on social media,1,1,1
They cancelled Chewing Gum. #devastated,0,0,0
I'm now jealous of Georgia Southern. Welcome to my life as an FAU fan.,0,0,0
People with depression are 4x more likely to have a heart attack ,0,0,0
"I almost died when i was a baby because i was in the womb for an additional month, i went  while in the womb and it burned my skin, went in my mouth and i stewed in it for a while. I had to be rushed to NICU and they put tubes in me. Sometimes i wish i didnt make it ",1,1,1
Can't believe I've had 9 days off already and that I'm back to work tomorrow! ,0,0,0
just got my phone confiscated for doing an anxiety test  great.  whelp bye again.,0,0,0
GONNA DRINK A BUNCH OF WHISKEY TONIGHT BECAUSE I HAVE  AND THE HOLIDAYS GOT ME  JK BUT I AM GONNA DRINK WHISKEY,1,1,1
2AM where do i begin? crying off my face again.,1,1,1
"Came home from vaca seeing a run over kitten in front of our house, which died hours later after incurring severe loss of blood. ",1,1,1
@whounfollowedme - I'm #very #glad to see You in my community !,0,0,0
Reading and watching the fault in our stars in the space of a week wasn't the best idea  ??????Œ ,0,0,0
Had a total meltdown on the way home from dinner.  ,1,1,1
Man it's terrible when your  an got a lot of problems more then you can say.,1,1,1
Just finished Schitt’s Creek and didn’t even know it,0,0,0
"Silently screaming for help inside, wanting to die and wishing someone would see and help me   ",1,1,1
The amount ae fucking spots I have right now honestly makes me wanty cry  ???­???­,1,1,1
My biggest wish is to one day have a true friend. To be accepted the way I am.,1,1,1
"When your entire dance company that you haven't seen in years is getting together, but you're the only one not going ",0,0,0
Holding a #grudge is like allowing someone to #live #rent #free in your #head #WednesdayWisdom #MotivationalQuotes,0,0,0
Well another day almost gone. So crawling back into my hole and hiding now.,1,1,1
People are so thankful for their life around . I get  because I don't feel anything.,1,1,1
Baywatch movie is so friggin #awesome #funny #delightful,0,0,0
Finally the fuck shit was sending fast ,0,0,0
This is ANOHNI. She has released  an album that transcends space and time. The best album ever.  pic.twitter.com/th6CRB1sFR,0,0,0
YouHaveToStudyWorkHardajajkskanakaoanakaa aaaaand BOOMSHAKALAKAAAA ??™ƒ??™ƒ   but ,0,0,0
"""At the root of every  is a kind of  - a hopelessness  which springs from the fear that we are nothing and nobody, that nobody  loves us and wants us, that nothing good will ever again happen to us.",0,0,0
"Always thought helping others would come back when you need it most, unfortunately beginning to think otherwise...  ",0,0,0
It always hurts to be the one who cared more ??,1,1,1
My Hoosiers and Cards both lost today???© AND the sun has been out 2x in the past 13 days!!  ,0,0,0
@muqryyy happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻,0,0,0
Damn so much snow why did I even look outside  ???”,0,0,0
@bugusdiemon Happy birthday cuzzo many blessing🙌🏾💪🏾🇳🇬💯#KeepGrinding #blessed,0,0,0
"Looking for some beautiful images. Having a really crappy week, and need some support. . Post some great beauty.  Thank you.",1,1,1
It's only 40 minutes before the  arrives an the  months begin. Look after yourselves and others speak about your problems  pic.twitter.com/gDHivI7EAN,0,0,0
"Would love to stop crying sometime today, on my tenth cry 🙄 deep sadness on top of food poisoning do not mix. #miserable",1,1,1
"Be yourself. If you can't love who u are then how can u expect someone to ""love""u.    ",0,0,0
I feel like my husband are growing more and more apart.,1,1,1
Anyone want to talk? I'm feeling depressed,1,1,1
Really trying to not look at tweets or watch any videos from Alison’s first red rocks show I am,0,0,0
120   ???????????????????  ??????????????????????????????????????ww  ????????????????????????????????????????????????????????????????????????????????    ?????????.......  ?????????LINE????????????LINE????????????   ??????????????????????????????????????????????????????????   ??????????  ?????.......????  pic.twitter.com/rLDG4ogYnz,0,0,0
"I met a new neighbor, bonded with another neighbor all due to the eclipse #blessing",0,0,0
Olivia is a prime example how you can be gorgeous on the outside &amp; have a really shitty personality! #looksainteverything #loveisland ,0,0,0
???¢ need to book a holiday asap   pic.twitter.com/gRBEuV5aIX,0,0,0
"Suicide, at 50-year peak    pic.twitter.com/ORXFwCDC6G",0,0,0
"If I DM you , Will you reply me...?   ",0,0,0
this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck this,1,1,1
Come on blues #StateOfOrigin #Origin  #NSWBlues #nsw,0,0,0
There are recipes for #porkchops w apple cider glaze but has anyone tried the meat steeped in the vinegar &amp; #BBQ w hickory smoke? #delicious,0,0,0
"It doesn’t help that I live on my own in a bachelor apartment the size of a storage locker. I need to find a bigger, & better apartment. , ",1,1,0
Microplush blankets are the  of  people.  pic.twitter.com/rb53cZSTXP,0,0,0
Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ,0,0,0
"   God, please help me.",1,1,1
I am so depressed right now I don't even know how I'm functioning.   ,1,1,1
"Yes brain. This gloomy, sad, turbulent, low energy feeling is a sign of my certain death. Now is the time to get worried. ",1,1,1
"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich  ????",1,1,1
i think i'll be sad from today until 357632477 years later....im not getting over this sadness,1,1,1
Thank you  for highlighting “ as an Epidemic”.  We humans are pack animals and not meant to live in isolation. We don’t have the speed of jaguars or the strength of gorillas but we do have social connections skills. We need each other to survive.  pic.twitter.com/FR89506MZ7,0,0,0
Never thrive on the hopelessness of another regardless how adverse the relationship may be. Hopelessness is hell’s nuclear bomb.,0,0,0
"One arm around my waist, hand down my crouch to pull me towards yourself with. You behind my back, jeans around your ankles you inside",0,0,0
Were starting an @insecurehbo club at my job. Every Monday we must be caught up on required watching. @opjumpstartlb @IssaRae ,0,0,0
"Despite being physically very unwell this past week, I am mentally feeling very strong right now. Genuinely excited by the opportunity to kick on now and make the most of life. Overcoming  one step at a time.",1,1,1
One step forward multiple steps back. Still no idea what I can do about it. ,1,1,1
“Have no #fear of #perfection - you'll never reach it.” ― Salvador Dalí #Agile #designthinking,0,0,0
hi i cant get out of bed because im,1,0,1
It's my 21st today. And about 3% people actually give a damn.,1,1,1
Not even in a sexual way but I’m just craving affection because I feel like crap. I just want someone to hug me for a couple of hours and tell me I’m going to be okay.,1,1,1
"Came up here, a new life, after the last divorce and a year of being in pain. Slowly dissipated, but it's never gone. I've been abandoned again. Lost. Taken away from happiness. But I sure hope Debbie, if there is another world, a heaven, that she's in it. ",1,1,1
"Even if I should decide to enter into a new  with a new guy, who'd want me now? I'm a ,  excuse of a person.",1,0,1
idk what to do with this acc - #…  pic.twitter.com/uOmcxfhKxk,0,0,0
wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you,1,1,1
@CPC_HQ Immature...and Trumpy. Sad one guys😕 Does this represent the intelligence and moral depth of CPC ? #bully #notinmycanada,1,0,0
Determined to cut the string but have no scissors or knife and I'm  too weak to break it.    pic.twitter.com/bPkMtyrl3t,1,1,1
And just like that Texas Christmas Reunion is over  ??,0,0,0
i'd kill myself if it was that easy,1,1,1
too soon for drinks. Ice cream and a movie  read bad reviews but will the lead get another oscar???,0,0,0
"Wish I was one of those girls that has a dad that would do anything for them, not a jerk of a sperm donor ",1,1,1
"That she feels good, feels no pain, is happy. If there isn't, I'll probably never see her again. Unless there's some other side, like hell. How she may get to that side, I don't know how that would be. She was too much of a saint. ",1,1,1
"Someone has told me, ""You have very pretty eyes and a smile.. but it's hard to ignore the Hurt, sadness & disappointment behind it."" ??",1,1,1
Just ate half a tub of ice cream half a tub of clotted cream with a shit load of Galaxy on top ,1,1,1
@ntyrbbygrl U make my heart flutter,0,0,0
Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.,0,0,0
@Malala Happy day to you Malala 👏🏻😃I seem to share a birthday with you #inspiring #women #education,0,0,0
I have exactly one more month to enjoy being in my 20's.   ,1,0,1
I'm so angry. Like I really hate it.  sucks & it's not as simple as âœŒï¸�making oneself happyâœŒï¸�???’,1,1,1
"when ur really  on xmas eve :,)",0,0,0
"I hate this feeling, but I brought it on myself   I hope that those I have hurt won't give up on me ??",1,1,1
Accept that you are  and it’s not your fault. Telling yourself to ??Pull yourself together’ or ??Snap out of it’ won’t help.,0,0,0
@ChristinaSNP All this great news.... it must be hurting some folk to be happy about this. 😊,0,0,0
 seriously increases the risk both of developing and also dying from heart disease,0,0,0
I want to leave Depression in 2015! I'm bored of it now. I'm dragging my black dog out for another run,1,1,1
Lost my job 3 1/2 months ago. Broke my back 2 weeks later.. bank account laughs when I need to pay bills or buy food..    I’ll keep fighting this up hill battle till I can’t but I need a vacation to reboot or find life!,1,1,1
"Just woke up because let's be real, can't be upset or angry if you just sleep all day.   ",1,1,1
Grinchmas ends in a week and I haven't gone and probably won't go. ???” ,0,0,0
Done absolute fuck all the last 2days ,1,1,1
how do i get my dad to stop looking at me like something broken that needs fixing  ,1,1,1
Going through the clothes I brought home and realize I left my one great pair of jeans in Wilm ,0,0,0
Forgot my cheese cake at work ,1,0,0
"Being single is not that bad, you got time stay focus on your plans and goals, you don’t even have to deal with drama. Until 11pm hits and loneliness comes along ????   ",1,1,1
Not felling the best right now... Life and anxiety is getting the best of me??,1,1,1
Some thoughts on  about a month into my latest episode ????  pic.twitter.com/P6I7bMMBFc,0,0,0
My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago ,1,1,1
"â€œI couldnâ€™t be with people and I didnâ€™t want to be alone."" ",1,1,1
Lord I know this is not of You. Please give me the tools needed to push thru. I refuse to give n2 the spirit of  ,1,1,1
"Finally its time, i have a cuppa n its time to watch what i already know will be an epic ep of Game of Thrones #bliss",0,0,0
  I am legitimately afraid of using social media. Too neurotic.,0,0,0
@samasaurus6 happy I got it recently on the summer sales :D,0,0,0
So I fucked up my car ??’” now I can't sleep ,0,0,0
When you're up $80-$90 and lose it all because you just can't stop<<<<<<<<,1,1,1
Let me just sit here and wallow in self pity ,1,1,1
This night went to hell…can't I ever shut up…,1,1,1
Crying once again…I have something repeating in my head over and over…I'm crying…,1,1,1
Curry really can't play tonight  but the rest of the Warriors got it ??????????????????????????????????,0,0,0
I've never dream to love him,0,0,0
We are drowning in company but dying for companionship.,0,0,0
