Text,Label,text_cleaned
@JustinOEarlwood #awesome news for the blues,0,awesome news blue
Can I just stay in bed and do nothing? I'm not feeling life today...,1,just stay bed nothing not feeling life today
Johnny Cash going on day three sleeping in my bed. I must be severely depressed cus he can sense it.  ,0,johnny cash going day sleeping bed severely depressed cu sense it
No matter how much you tell yourself that you've accepted relegation it takes a day like today to prove that you haven't,0,matter tell accepted relegation take day like today prove not
??’•you are significant ??’•    pic.twitter.com/28QHqxYkc9,0,you significant
seeing sope perform otsukare always makes me happy no matter how much of a bad day I have,0,seeing sope perform otsukare make happy matter bad day
"Bertolacci will join Genoa on a dry loan with no option to buy, done deal- Sky....At last he's gone #rejoice",0,bertolacci join genoa dry loan option buy deal skyat gone rejoice
Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s,0,come jan like u just stop depression kmt
"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?  ",1,sleepless night record comfort stuff watching hairy bikers a place sun wee small hour little dog
Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 😁 #niallhoran #Dublin #music ,0,woo happy right now just bought ticket summer dublinca not wait niallhoran dublin music
Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ,0,lost lonely need you
promoting taeny while tiff is here yes 👌,0,promoting taeny tiff yes
"@magicpencil I'd just whip up a cake batter or cookies &amp; throw it in 😀 bakewell, frangipani is made with almonds",0,just whip cake batter cooky amp throw bakewell frangipani almond
@MaxineWaters Love you! #relentless Thank you for being a voice for our country!,0,love you relentless thank voice country
Look at this little guy! He is connecting to his magical self.😇\nWhat do you do to keep life magical?🌈 @AnewPerspective #magical  #be,0,look little guy connecting magical selfnwhat life magical magical
Its 2:37 & I event left nor have I ate....,0,event left ate
Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying,0,chad sarah honestly ex year ago cbb horrifying
NEW MUSIC FRIDAY: FIRST SINGLE OFF THE NEXT PROJECT. #untitled #mattrod #hiphop #boston #hartford #animosity #thesemycities,0,new music friday single project untitled mattrod hiphop boston hartford animosity thesemycities
Can't stop listening to the  album  so beautiful  pic.twitter.com/NoKZ0e1Hlp,0,ca not stop listening album beautiful
That moment when you get blindsided by something you wasn't expecting & now in a state of total disappointment & heartache....,1,moment blindsided not expecting state total disappointment heartache
when can I really respect and love myself more than anybody else?,1,really respect love anybody else
I just asked this customer about her cable box and she went left field and was telling me all the issues in her life ????,0,just asked customer cable box went left field telling issue life
Damn so much snow why did I even look outside  ???”,0,damn snow did look outside
Love to find pics of me! (not my pic) Because love hurts ???§???¥    ??’”,0,love pic me not pic love hurt
"If I DM you , Will you reply me...?   ",0,dm reply me
My love for black people does not mean I resent white people.,0,love black people doe not mean resent white people
Crying once again…I have something repeating in my head over and over…I'm crying…,1,cry againi repeating head overi cry
Happy happy birthday to the girl who never fails to brighten up everyone's day! Thank you for everything! I'll always be here for you. 🤗,0,happy happy birthday girl fails brighten day thank everything you
Someone quoted and hash tagged one of my tweets once with ,0,quoted hash tagged tweet
"You are MINE, my baby, my headache, my love, my smile, my frown, my wrong, my right, my pain, my happiness, my everything.",0,mine baby headache love smile frown wrong right pain happiness everything
Nearly 12 o'clock and we are here listening to music and my girlie is making me howl with her dancing #oldtunes #daughter #laughs #memories,0,nearly oclock listening music girlie making howl dancing oldtunes daughter laugh memory
On our way to #Gamescom17 What can we expect and who will we meet? #excitement,0,way gamescom expect meet excitement
Done absolute fuck all the last 2days ,1,absolute fuck day
People with depression are 4x more likely to have a heart attack ,0,people depression x likely heart attack
OMG! The commanding staff soon sensing the  of the situation of the country estimated at 70 billion,0,omg commanding staff soon sensing situation country estimated billion
My mom's Puerto Rican. That's why i'm so lively and colorful.,0,mom puerto rican lively colorful
"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",1,suck fall hard someone just leave like nothing
I accidentally Fucked up my hair  ??????,0,accidentally fucked hair
My soon to be ex wife needs to learn to chill out &amp; smile ,0,soon ex wife need learn chill amp smile
"New Years Eve,The day I always dread.???? ",0,new year evethe day dread
This time last year I was on a plane to New York...,0,time year plane new york
@jaimitoelcrack7 Seriously...I've been sitting here for five minutes watching this in awe. It never gets less amazing.,0,seriouslyi sitting minute watching awe get amazing
"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",0,think abt t generation time turkey sandwich mince pie t company stranger seldom effective
This is the day that the lord has made I will rejoice and BE GLAD IN IT! 🙌🏿🌟 #blessed #favored #loved #,0,day lord rejoice glad it blessed favored loved
Getting on the jd and coke   ,0,getting jd coke
Sometimes love is so painful it eats you up until your nothing   ,1,love painful eats
Take #photographs of life and write them in #journals #motivation #inspiration #life  #love #inspire #smile #quotestoliveby,0,photograph life write journal motivation inspiration life love inspire smile quotestoliveby
Go harder when everyone else has had enough. #relentless #Cleaner,0,harder enough relentless cleaner
"Riding the metro into , the feeling of  is palpable this morning.",1,riding metro feeling palpable morning
Just want to stay in bed all day... ,1,just want stay bed day
" aw this Steve story is heartbreaking.  is THE Worst feeling in the world. Well done, great job on storyline ???‰",0,aw steve story heartbreaking worst feeling world done great job storyline
"Morning! Good vibes today people!! It's July 11, 2017 at 09:00AM #goodmorning #twitter #happy",0,morning good vibe today people july am goodmorning twitter happy
When you feel like shit and have no one to vent too   ,1,feel like shit vent
"""I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone"".   ",0,i used think worst thing life end alone not worst thing life end people make feel alone
Then daddy wanna call talking bout wake up and shake that ass 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,0,daddy wanna talking bout wake shake as
@aacobe so you no its bibby time  lol,0,bibby time lol
"Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness: - Psalm 95:8 KJV",0,harden not heart provocation day temptation wilderness psalm kjv
Starting to feel really anxious and sad and empty. ,1,starting feel really anxious sad empty
I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?,0,trying not start posting song lyric just sleep
My morning protein shake. Delicious way to assure I start my day the right way with 21 gms of whey protein. #protein #shake #morning,0,morning protein shake delicious way assure start day right way gm whey protein protein shake morning
"And now that Im having the other way around, i feel so upset and sad",1,im having way around feel upset sad
Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,0,played radio station playing song total eclipse heart start eclipse eclipse brilliant
The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again.  ,0,team looked uninspired min day think ht team talk helped guess again
Imagine having a figure like  ffs I’d never wear clothes! shes just bloody perfect - wish I hadn’t seen these photos    pic.twitter.com/EKeUu6aXvY,0,imagine having figure like ffs wear clothes shes just bloody perfect wish not seen photo
@Arquipimp 😂😂😂😂\nU mean overprice English clubs\nReal Madrid see bayern as no threat then look 😂,0,nu mean overprice english clubsnreal madrid bayern threat look
@LisaCim @AcaciaEvans This is the best picture I have ever seen! #beautiful #happy,0,best picture seen beautiful happy
When you're saving loads of money not drinking so you start buying ALL THE THINGS #sobergirlproblems  #sobriety,0,saving load money not drinking start buying thing sobergirlproblems sobriety
The  is no joke as I have suffered from   myself at this time of year I implore you to look after yourself & loved ones,0,joke suffered time year implore look loved one
Why it's simple to just stop texting,1,simple just stop texting
Have to work everyday for the rest of the year ,1,work everyday rest year
"I've been in a funk all day, just feeling a little down  ",1,funk day just feeling little
"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little.",0,psalm kiss son lest angry perish way wrath kindled little
It's weird that I get 300x more depressed over Christmas break every year.  ,1,weird x depressed christmas break year
@CutTimeComic They are adorable !!! I need them all 😭,0,adorable need
Real happiness comes from the person who you truly love the most.. 😍 #071117,0,real happiness come person truly love most
Before you label yourself as  or low  make sure you're not simply in fact surrounded by... pic.twitter.com/QrpK8Kn9pR,0,label low make sure not simply fact surrounded by
I am the writer of my own disasters,0,writer disaster
Wish I was watching a meaningful game. ,0,wish watching meaningful game
"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that's all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left. ",1,anyway walk house try not look thing try not think her do feel deep pain deep longing again remember germany left
@mrsebastian696 @Twitter HAPPY BIRTHDAY!! :D,0,happy birthday
I'm gonna see you one last time,1,gonna time
Going through  are like going through .,1,going like going
Ot6 still exist? #julid #deletesoon ,0,ot exist julid deletesoon
i do love shack shake,0,love shack shake
Listening to @danauerbach and watching the #eclipse at the dog park #bliss,0,listening watching eclipse dog park bliss
"Well, goodbye gents, my life is over...  ",1,well goodbye gent life over
"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe  will be just staying alive..",1,sick having new year resolution hitch love happymaybe just staying alive
Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,0,life turned totally different thoughtyou lost alonedesperately need helpjesuschristhealssavesask
"With ageing populations at risk of  and  (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6",0,ageing population risk and depression myriad health effect higher healthcare cost rising childcare cost approach like intergenerational care beautifully cost efficient solve problem problem
When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,1,scare opened like pooring salt them hate feeling pain im
Damn I'm the only one who didn't get JB tickets??,0,damn did not jb ticket
Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1,going say goodbye beloved pup upcoming week
"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",1,is am wide awake thought supposed know as out instead mind racing
@BugsySeigal been reading your Twitter this lunchtime... you're very angry aren't you 😂😂,0,reading twitter lunchtime angry not
One of the common misunderstandings about depression is that it's similar to feeling sad or down. Sometimes a people with hopelessness feels depression or vice versa.     pic.twitter.com/iS5JSTQKPP,0,common misunderstanding depression similar feeling sad down people hopelessness feel depression vice versa
"I'm an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame",0,indian fan so hate joe buck im glad look old af now bitter allstargame
Still can't fit any of my jeans. ,0,fit jean
Only the insecure withhold praise of another's achievements     ,0,insecure withhold praise achievement
That moment when your depression kicks in even more....,1,moment depression kick more
All I want is get my sister @ashleyclaw &amp; @chrisdelia in a room and listen to both of them laugh #Hollywoodimprov #laughteristhebestmeds #😂,0,want sister amp room listen laugh hollywoodimprov laughteristhebestmeds
"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again. ",1,understanding noone there people life busy schedule time time think used longer have think again
All my photos from July disappeared. I could cry. Santa what have you done............,0,photo july disappeared cry santa done
Hey @TheTimMcGraw #imwearingyourshirt today!! #humbleandkind  #awesomeness #timmcgraw #wqmx @949WQMX @KeepinItCntry @JulieMN13,0,hey imwearingyourshirt today humbleandkind awesomeness timmcgraw wqmx
@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,0,judiciary just leaf breathless speechless
A boo would be nice but nobody loves me ????,1,boo nice love
Happy right now I just beaten the second game of crash bandicoot one more to go now didn't get that mad 😡 at the game lol 😂,0,happy right just beaten second game crash bandicoot did not mad game lol
"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",1,used talking hour just not talking really happened
@PrisonPlanet @DonaldJTrumpJr I read they pissed in Trump's bed 😀,0,read pissed trump bed
It’s only 3 o’clock in the afternoon and it’s dark and raining  Like mad! I hate this so much!,0,oclock afternoon dark raining like mad hate much
I just want to watch One Punch Man and not get out of bed.,1,just want watch punch man not bed
@ThePURCompany I have tried #PUR Mojito Lime mints They are #delicious 😘Happy #NationalMojitoDay to all #contest #win ✅💚,0,tried pur mojito lime mint delicious happy nationalmojitoday contest win
I’m now  I will be blacking out my pfp and deactivating. Expect to see me back in 2 minutes tho cuz I’m a clout chaser.,0,blacking pfp deactivating expect minute tho cuz clout chaser
"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",0,want do want great it love able make sacrifice it quote
@TommySandhu @bbcasiannetwork tommy you r phenomenal smashed #ajjdin on the mixes #hilarious and #awesome 😜😂😂👍🏻,0,tommy r phenomenal smashed ajjdin mix hilarious awesome
@Monarch Really??? I've had to hang up! ,0,really hang up
Can we stop complaining about  until we recognize that we have institutionalized self-sufficiency and pathologized human interaction?  pic.twitter.com/sCFjoC5yOw,0,stop complaining recognize institutionalized selfsufficiency pathologized human interaction
Gm and have a  #Tuesday!,0,gm tuesday
I'm shaking in my boots now. The Taffia are in full flow 😂😂,0,shaking boot now taffia flow
"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but☝ it's nice ur smile :) winner💕💕🌸🌸🌸",0,mom a saw ur insta why ur picture black white nice ur smile winner
I can tell by the end of the night I'm gonna cut my arm  ,1,tell end night gonna cut arm
"Drunk and singing along to bmth, asking alexandria and of mice and men, rip my parents eardrums  ",0,drunk singing bmth asking alexandria mouse men rip parent eardrum
Been spoilt even got a Kylie lip kit 😆,0,spoilt got kylie lip kit
'A #pessimist sees the difficulty in every #opportunity; an #optimist sees the opportunity in every difficulty.' —Winston Churchill #quote,0,a pessimist see difficulty opportunity optimist see opportunity difficulty winston churchill quote
" mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",0,mood caused infectious disease nutritional deficiency neurological condition physiological problem
Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  ,0,michelle obama feeling bellweather country tell moving right direction
"no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country's-",0,offense love k culture u love want bb just personally want know country is
and now I got tickets to Hamlet #yay #happy #londontheatre,0,got ticket hamlet yay happy londontheatre
I want this to be a good day but this monster keeps pushing me down ,1,want good day monster keep pushing
Watching other NFL teams today emphasizes how pitiful the Eagles are,0,watching nfl team today emphasizes pitiful eagle
I haven't snuggled my little Uigi in SIX days????????,0,not snuggled little uigi day
wtf bro 0 stars in my first attack in war fuck this shit man,0,wtf bro star attack war fuck shit man
Forgot my cheese cake at work ,1,forgot cheese cake work
I can now see all of your tweets on one timeline. Makes life a lot easier. Just say hello and I will add you!  ,0,tweet timeline make life lot easier just say hello add you
ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,1,ha ha just realised actually therapy not know depressed just sad time
i feel like i'm a prisoner of my own life.. like as if my life was a jail and i'm doing a lifetime sentence ,1,feel like prisoner life like life jail doing lifetime sentence
Bus model and industry make huge diff to value - Soft cos cost structure scales diff than Hard co. Need to know when raising #vc #start,0,bus model industry make huge diff value soft co cost structure scale diff hard co need know raising vc start
when Martin stole Sonja's pizza on the MG show ep 4????????,0,martin stole sonja pizza mg ep
 seriously increases the risk both of developing and also dying from heart disease,0,seriously increase risk developing dying heart disease
I'm so proud of myself for having a productive morning 😥,0,proud having productive morning
Why we loose hope in ourself When people demotivate us...,0,loose hope ourself people demotivate u
Whatever it takes to keep fucking  and bastard  at bay.  Wishing you a bloody happy New Year!  pic.twitter.com/3qWP4Lt25E,0,take fucking bastard bay wishing bloody happy new year
Accept that you are  and it’s not your fault. Telling yourself to ??Pull yourself together’ or ??Snap out of it’ won’t help.,0,accept not fault telling pull together snap it not help
brains have some of the most tiring dreams. Maybe because they're some of the most vivid?,0,brain tiring dream maybe vivid
What can you say about @rogerfederer #awestruck.....,0,say awestruck
It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,1,amazonprimeday broke reality just day depressing
Being lost in my own mind   ,1,lost mind
Is it even trail mix if pretzels are just left ???£???’ ,0,trail mix pretzel just left
Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,1,ke na le problem le guy way world people lonely alone
@mrosenbaum711 Happy Birthday 🎈🎊🎁 Have an awesome filled day of awesomeness.,0,happy birthday awesome filled day awesomeness
"If there's one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh.   ",1,thing hate ignored everybody doing just that ugh
It's funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1,funny night hate sleeping sleeping help just feel dead explanation feeling
Love that character     pic.twitter.com/uRCSKr2or8,0,love character
i'd kill myself if it was that easy,1,kill easy
Loneliness isn't about being alone it's not being anybody's priority  is a problem that faces us all reach out and make contact??‘‹??—£,0,loneliness not not anybody priority problem face reach make contact
LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( ,0,love ordering expensive gift receiving not like discription color presented
â™?I Don't Love You Anymore - ANOHNI   ,0,i not love anymore anohni
My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,1,best friend died year ago day car crash y year killing me literally torn need help
who needs an alarm clock when u have an excited puppy jumping on you every morning,0,need alarm clock u excited puppy jumping morning
"RT KatelynTiffner:  because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",0,katelyntiffner dream ralligatorr springbreak cancun woke realized o
being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘�??�½ story of my life ,1,sweet nice guy realizing really deserved story life
" by : Bleak melodies & beats, beautiful voice and gloomy verses about today's world. Brilliant! One of the best in 2016.",0,bleak melody beat beautiful voice gloomy verse today world brilliant best
I'm kinda glad that I know about 2 to 4 people in all my classes that I can talk to #relieved,0,kinda glad know people class talk relieved
@SpnTentation Thank you! My first solo run!  #excited #andnervous,0,thank you solo run excited andnervous
happy birthday to anne ! we wish her all the best and hope she's having a wonderful day,0,happy birthday anne wish best hope having wonderful day
Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has!  ,0,just day younger shane meadow thank god achieved ha
jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on … leaving me to fester under the poverty line for 10 years,1,jfc bad morning dont depressed oh hang leaving fester poverty line year
Finally the fuck shit was sending fast ,0,finally fuck shit sending fast
